item_id,meeting_id,item_number,item_type,application_id,applicant_name,project_title,district,address_raw,summary,outcome,motion_text,vote_result,created_at
11,5,4,Unknown,,,"Comprehensive Amendment to include an element for property rights, required by State Statute. - Public Information Meeting was held May 10, 2022. - See Staff Report - Planning Zoning and Design Board will make a recommendation to Council to transmit the a",,,"Comprehensive Amendment to include an element for property rights, required by State Statute. - Public Information Meeting was held May 10, 2022. - See Staff Report - Planning Zoning and Design Board will make a recommendation to Council to transmit the a. Action: Recommended approval to the Council to include an element for property rights",Recommended approval to the Council to include an element for property rights,,See minutes,
12,6,1,Resolution,ADD2022-E005,,"COP Extension of Outdoor Area - South Fork Grille/El Nido Modern Mexican Restaurant (ADD2022-E005) (District 6) 23161 Village Shops Way, Unit 113 Coconut Point Mall, located in the southern portion of Coconut Point Mall, south of Divieto Ristorante. Appli",6,"23161 Village Shops Way, Estero, FL","COP Extension of Outdoor Area - South Fork Grille/El Nido Modern Mexican Restaurant (ADD2022-E005) (District 6) 23161 Village Shops Way, Unit 113 Coconut Point Mall, located in the southern portion of Coconut Point Mall, south of Divieto Ristorante. Appli. Action: Approved the Resolution expanding the COP premises as described with the five conditions in the staff recommendation with the addition of the sixth condition of a minimum of 60- inches clear space be cleared for a walking area between the curb and the barrier of the outdoor seating",Approved the Resolution expanding the COP premises as described with the five conditions in the staff recommendation with the addition of the sixth condition of a minimum of 60- inches clear space be cleared for a walking area between the curb and the barrier of the outdoor seating,,See minutes,
13,6,2,Unknown,DCI2021-E004,,"Zoning Amendment and Deviations - Estero Town Center - Wawa (DCI2021-E004) (District 5) 10081 Estero Town Commons, located on the south side of Corkscrew Road on the parcel previously occupied by Ruby Tuesday in Lowe's Plaza. Applicant seeks to amend the ",5,Corkscrew Road Widening Corridor,"Zoning Amendment and Deviations - Estero Town Center - Wawa (DCI2021-E004) (District 5) 10081 Estero Town Commons, located on the south side of Corkscrew Road on the parcel previously occupied by Ruby Tuesday in Lowe's Plaza. Applicant seeks to amend the . Action: Recommended to the Council to amend the Commercial Planned Development to allow a convenience store with gas pumps, and the addition of only one fast food restaurant and deny deviation 7 for the canopy. Additionally modify conditions 3 and 9 and delete conditions 7 and","Recommended to the Council to amend the Commercial Planned Development to allow a convenience store with gas pumps, and the addition of only one fast food restaurant and deny deviation 7 for the canopy. Additionally modify conditions 3 and 9 and delete conditions 7 and",,,
14,6,3,Ordinance,Ordinance 2022-09,,Ordinance 2022-09 Planning Zoning and Design Board Membership Qualifications Amend Land Development Code Section 2-302C.2. to change membership qualifications of the Planning Zoning and Design Board,,,Ordinance 2022-09 Planning Zoning and Design Board Membership Qualifications Amend Land Development Code Section 2-302C.2. to change membership qualifications of the Planning Zoning and Design Board. Action: Recommended to the Council to approve Ordinance 2022,Recommended to the Council to approve Ordinance 2022,,,
15,7,1,Resolution,,,Special Exception Riverwoods Plantation Pickleball (SEZ2022-E001) (District 1 20481 Plantation Boulevard located approximately 1 mile west of US 41 and north of Broadway West. Final Action Agenda/Minutes are supplemented by audio and video recordings of t,1,"20481 Plantation Boulevard, Estero, FL",Special Exception Riverwoods Plantation Pickleball (SEZ2022-E001) (District 1 20481 Plantation Boulevard located approximately 1 mile west of US 41 and north of Broadway West. Final Action Agenda/Minutes are supplemented by audio and video recordings of t. Action: Approved the Resolution Motion with the condition the applicant must provide either a noise abatement plan or a noise study within 30 days of staff request,Approved the Resolution Motion with the condition the applicant must provide either a noise abatement plan or a noise study within 30 days of staff request,,See minutes,
16,7,2,Vote,DOS2017-E006,,"Development Order - Arcos Executive Office (District 4) (DOS2017-E006) 10170 and 10150 Arcos Avenue, Plaza Del Sol Commercial Planned Development, Parcels B and C, located at the northeast corner of Corkscrew Road and Three Oaks Parkway. Development Order",4,"10170 and 10150 Arcos Avenue, Estero, FL","Development Order - Arcos Executive Office (District 4) (DOS2017-E006) 10170 and 10150 Arcos Avenue, Plaza Del Sol Commercial Planned Development, Parcels B and C, located at the northeast corner of Corkscrew Road and Three Oaks Parkway. Development Order. Action: Approved the Development Order with the exception of the monument sign",Approved the Development Order with the exception of the monument sign,,See minutes,
17,7,3,Unknown,DCI2021-E005,,Rezoning - Milan Villas (DCI2021-E005) (District 5) 21750 Three Oaks Parkway - 10 acres located at the northwest corner of Williams Road and Three Oaks Parkway. Applicant seeks rezoning of the property from Commercial Planned Development to Residential Pl,5,"21750 Three Oaks Parkway, Estero, FL","Rezoning - Milan Villas (DCI2021-E005) (District 5) 21750 Three Oaks Parkway - 10 acres located at the northwest corner of Williams Road and Three Oaks Parkway. Applicant seeks rezoning of the property from Commercial Planned Development to Residential Pl. Action: Recommended to the Council to approve of the rezoning subject to revised conditions 6,7, and","Recommended to the Council to approve of the rezoning subject to revised conditions 6,7, and",,,
18,8,1,Unknown,,,"Public Information Meeting was held September 28, 2021, and a Workshop was held April 12, 2022. Planning Zoning and Design Board will make a recommendation to Council. Chairman Wood provided information regarding Board business and quasi-judicial hearings",,,"Public Information Meeting was held September 28, 2021, and a Workshop was held April 12, 2022. Planning Zoning and Design Board will make a recommendation to Council. Chairman Wood provided information regarding Board business and quasi-judicial hearings. Action: Recommended to the Council to approve of the zoning amendment for Genova with additional language to condition 4, which is the pattern book","Recommended to the Council to approve of the zoning amendment for Genova with additional language to condition 4, which is the pattern book",,See minutes,
19,8,2,Vote,DCI2021-E003,,"Zoning Amendment - Pelican Sound River Club (DCI2021-E003) (District 2) 4561 Pelican Sound Boulevard, located west of US 41 and north of Williams Road. Applicant is seeking to amend the Pelican Sound Residential Planned Development Zoning Resolution and M",2,"4561 Pelican Sound Boulevard, Estero, FL","Zoning Amendment - Pelican Sound River Club (DCI2021-E003) (District 2) 4561 Pelican Sound Boulevard, located west of US 41 and north of Williams Road. Applicant is seeking to amend the Pelican Sound Residential Planned Development Zoning Resolution and M. Action: Motion withdrew",Motion withdrew,,Detected,
20,8,3,Vote,DCI2021-E003,,"Zoning Amendment - Pelican Sound River Club (DCI2021-E003) (District 2) 4561 Pelican Sound Boulevard, located west of US 41 and north of Williams Road. Applicant is seeking to amend the Pelican Sound Residential Planned Development Zoning Resolution and M",2,"4561 Pelican Sound Boulevard, Estero, FL","Zoning Amendment - Pelican Sound River Club (DCI2021-E003) (District 2) 4561 Pelican Sound Boulevard, located west of US 41 and north of Williams Road. Applicant is seeking to amend the Pelican Sound Residential Planned Development Zoning Resolution and M. Action: Approved motion for a continuous to come back on the October 27th meeting",Approved motion for a continuous to come back on the October 27th meeting,,See minutes,
21,8,4,Unknown,DCI2022-E002,,"Zoning Amendment - Coconut Trace, Parcels C and D (District 2) (DCI2022-E002) 22951-22961 Lyden Drive, 3.5 vacant acres on the west side of US 41 north of Coconut Road. Applicant is seeking to amend the zoning uses to revise real estate sales to allow a r",2,"22961 Lyden Drive, Estero, FL","Zoning Amendment - Coconut Trace, Parcels C and D (District 2) (DCI2022-E002) 22951-22961 Lyden Drive, 3.5 vacant acres on the west side of US 41 north of Coconut Road. Applicant is seeking to amend the zoning uses to revise real estate sales to allow a r. Action: Recommended to the Council to approve the zoning amendment with the amendment of condition 2 and the addition of condition",Recommended to the Council to approve the zoning amendment with the amendment of condition 2 and the addition of condition,,,
22,8,5,Unknown,DOS2022-E003,,"Development Order - Island High Rise (District 1) (DOS2022-E003) 5-acre ""island"" site at west end of Williams Road and past Baybridge Boulevard, over ""no name"" bridge in the West Bay Club development. Applicant seeks to construct multi-family high-rise bu",1,Williams Road,"Development Order - Island High Rise (District 1) (DOS2022-E003) 5-acre ""island"" site at west end of Williams Road and past Baybridge Boulevard, over ""no name"" bridge in the West Bay Club development. Applicant seeks to construct multi-family high-rise bu. Action: Recommended to the Council to approve the Development Order and monument sign for Island High Rise",Recommended to the Council to approve the Development Order and monument sign for Island High Rise,,See minutes,
23,9,1,Unknown,DCI2021-E003,September 13,"Zoning Amendment - Pelican Sound River Club - Continued from September 13, 2022 meeting (DCI2021-E003) (District 2) 4561 Pelican Sound Boulevard, located west of US 41 and north of Williams Road. No ex parte communication or conflicts of interest were not",2,"4561 Pelican Sound Boulevard, Estero, FL","Zoning Amendment - Pelican Sound River Club - Continued from September 13, 2022 meeting (DCI2021-E003) (District 2) 4561 Pelican Sound Boulevard, located west of US 41 and north of Williams Road. No ex parte communication or conflicts of interest were not. Action: Recommended to the Council to approve the request with conditions",Recommended to the Council to approve the request with conditions,,See minutes,
24,9,2,Vote,DOS2022-E004,,"Development Order - Dunkin Donuts Estero Crossing Commercial Building #1 (DOS2022-E004) (District 5) 10500 Corkscrew Road, east of Puente Lane. Applicant is proposing a ±4,700 square foot building consisting of 2 retail spaces with 1 drive thru. All audie",5,"10500 Corkscrew Road, Estero, FL","Development Order - Dunkin Donuts Estero Crossing Commercial Building #1 (DOS2022-E004) (District 5) 10500 Corkscrew Road, east of Puente Lane. Applicant is proposing a ±4,700 square foot building consisting of 2 retail spaces with 1 drive thru. All audie. Action: Approved the Development Order",Approved the Development Order,,See minutes,
25,9,3,Vote,ADD2022-E006,,"Consumption on Premises - Oak & Stone, Commercial Building #4 (ADD2022-E006) (District 5) 10500 Corkscrew Road, east of Puente Lane. Applicant is requesting outdoor COP approval in conjunction with full-service restaurant. No ex parte communication or con",5,"10500 Corkscrew Road, Estero, FL","Consumption on Premises - Oak & Stone, Commercial Building #4 (ADD2022-E006) (District 5) 10500 Corkscrew Road, east of Puente Lane. Applicant is requesting outdoor COP approval in conjunction with full-service restaurant. No ex parte communication or con. Action: Approved request with staff conditions",Approved request with staff conditions,,See minutes,
26,9,4,Ordinance,Ordinance 2022-12,,Land Development Code Amendment - Lot Coverage (Ordinance 2022-12),,,Land Development Code Amendment - Lot Coverage (Ordinance 2022-12). Action: Recommended approval of Ordinance 2022-12 to Council,Recommended approval of Ordinance 2022-12 to Council,,See minutes,
27,9,5,Ordinance,Ordinance 2022-13,,Land Development Code Amendment - (Ordinance 2022-13) related to flood hazard reduction standards,,,Land Development Code Amendment - (Ordinance 2022-13) related to flood hazard reduction standards. Action: Recommended approval of Ordinance 2022-13 to Council,Recommended approval of Ordinance 2022-13 to Council,,See minutes,
28,10,1,Vote,,,"AT&T Cell Tower (District 1) (SEZ2020-E0101) 3231 Coconut Road, located on the property of Bonita Springs #2753 Benevolent and Protective Order of Elks, west of US 41 and south of Coconut Road. Special Exception request in CS - Commercial Special Office Z",1,"3231 Coconut Road, Estero, FL","AT&T Cell Tower (District 1) (SEZ2020-E0101) 3231 Coconut Road, located on the property of Bonita Springs #2753 Benevolent and Protective Order of Elks, west of US 41 and south of Coconut Road. Special Exception request in CS - Commercial Special Office Z. Action: Approved the 100-foot AT&T Cell Tower with conditions",Approved the 100-foot AT&T Cell Tower with conditions,,See minutes,
29,10,2,Vote,DOS2022-E001,,"Marketplace Development Order (District 6) (DOS2022-E001) 8001 Via Rapallo Drive, located east of US 41, north of Sweetwater Ranch Blvd. and south of Via Rapallo Dr. Development Order for the construction of a mixed-use commercial development, consisting ",6,"8001 Via Rapallo Drive, Estero, FL","Marketplace Development Order (District 6) (DOS2022-E001) 8001 Via Rapallo Drive, located east of US 41, north of Sweetwater Ranch Blvd. and south of Via Rapallo Dr. Development Order for the construction of a mixed-use commercial development, consisting . Action: MOTION FAILED WAS TO LACK OF MOTION BEING SECONDED",MOTION FAILED WAS TO LACK OF MOTION BEING SECONDED,,Detected,
30,10,3,Vote,DOS2022-E001,,"Marketplace Development Order (District 6) (DOS2022-E001) 8001 Via Rapallo Drive, located east of US 41, north of Sweetwater Ranch Blvd. and south of Via Rapallo Dr. Development Order for the construction of a mixed-use commercial development, consisting ",6,"8001 Via Rapallo Drive, Estero, FL","Marketplace Development Order (District 6) (DOS2022-E001) 8001 Via Rapallo Drive, located east of US 41, north of Sweetwater Ranch Blvd. and south of Via Rapallo Dr. Development Order for the construction of a mixed-use commercial development, consisting . Action: Approved the Development Order with staff conditions",Approved the Development Order with staff conditions,,See minutes,
31,10,4,Vote,,,Rivercreek Phase 2 Corkscrew Crossing Development Order (District 7) (DOS2022- E011) 12840 Corkscrew Road located east of Wildcat Run and west of The Preserve Phase Two consists of 213 single family lots on approximately 48.3 acres. No ex parte communicat,7,"12840 Corkscrew Road, Estero, FL",Rivercreek Phase 2 Corkscrew Crossing Development Order (District 7) (DOS2022- E011) 12840 Corkscrew Road located east of Wildcat Run and west of The Preserve Phase Two consists of 213 single family lots on approximately 48.3 acres. No ex parte communicat. Action: Approved the Development Order,Approved the Development Order,,Detected,
32,10,5,Vote,,,Rivercreek Phase 2 Corkscrew Crossing Development Order (District 7) (DOS2022- E011) 12840 Corkscrew Road located east of Wildcat Run and west of The Preserve Phase Two consists of 213 single family lots on approximately 48.3 acres. No ex parte communicat,7,"12840 Corkscrew Road, Estero, FL",Rivercreek Phase 2 Corkscrew Crossing Development Order (District 7) (DOS2022- E011) 12840 Corkscrew Road located east of Wildcat Run and west of The Preserve Phase Two consists of 213 single family lots on approximately 48.3 acres. No ex parte communicat. Action: Approved to continue the meeting until 9:15 pm,Approved to continue the meeting until 9:15 pm,,Detected,
33,11,1,Ordinance,,June 8,Election of Planning Zoning and Design Board Vice-Chairperson,,,"Election of Planning Zoning and Design Board Vice-Chairperson. Action: Elected Board Member Anthony Gargano as Vice Chair for the Planning Zoning and Design Board. Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Design Review Board meetings from June 8, 2016, forward, as well agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date","Elected Board Member Anthony Gargano as Vice Chair for the Planning Zoning and Design Board. Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Design Review Board meetings from June 8, 2016, forward, as well agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date",,See minutes,
34,11,2,Vote,DO2022-E005,,Milan Villas Development Order (DO2022-E005) (District 5) 21750 Three Oaks Parkway located at the northwest corner of Williams Road and Three Oaks Parkway Applicant seeks to develop a residential single-family subdivision on ±10 acres. Ordinance 2022-11 a,5,"21750 Three Oaks Parkway, Estero, FL",Milan Villas Development Order (DO2022-E005) (District 5) 21750 Three Oaks Parkway located at the northwest corner of Williams Road and Three Oaks Parkway Applicant seeks to develop a residential single-family subdivision on ±10 acres. Ordinance 2022-11 a. Action: Approved the Development Order with staff changes and the monument sign,Approved the Development Order with staff changes and the monument sign,,See minutes,
35,12,1,Vote,DOS2022-E010,,"Estero Eyebuild at Corkscrew Palms - Development Order (DOS2022-E010) (District 5) 9441 Corkscrew Palms Circle - A vacant parcel east of Village Hall, surrounded by parking in the Corkscrew Palms Commercial Planned Development (CPD) on Corkscrew Road. App",5,"9441 Corkscrew Palms Circle, Estero, FL","Estero Eyebuild at Corkscrew Palms - Development Order (DOS2022-E010) (District 5) 9441 Corkscrew Palms Circle - A vacant parcel east of Village Hall, surrounded by parking in the Corkscrew Palms Commercial Planned Development (CPD) on Corkscrew Road. App. Action: Approved the Development Order with no cupola required unless the applicant wants one",Approved the Development Order with no cupola required unless the applicant wants one,,See minutes,
36,12,2,Vote,,,Village Initiated Rezoning - 9000 Williams Road Property (District 5) Village proposes to rezone +19 acres on the north side of Williams Road that includes the Golf Coast Driving Range and a vacant parcel from Agriculture & Commercial Planned Development ,5,"9000 Williams Road, Estero, FL",Village Initiated Rezoning - 9000 Williams Road Property (District 5) Village proposes to rezone +19 acres on the north side of Williams Road that includes the Golf Coast Driving Range and a vacant parcel from Agriculture & Commercial Planned Development . Action: Approved continuance,Approved continuance,,See minutes,
37,12,3,Ordinance,Ordinance 2023-02,,Ordinance 2023-02 - Standards for Elevated Single-Family Homes Amendment to the Land Development Code,,,Ordinance 2023-02 - Standards for Elevated Single-Family Homes Amendment to the Land Development Code. Action: Recommended approval to Council Ordinance 2023-02 with the substitution of an 80% opaque visual barrier in lieu of a wall and that it be covered over three sides of the structure,Recommended approval to Council Ordinance 2023-02 with the substitution of an 80% opaque visual barrier in lieu of a wall and that it be covered over three sides of the structure,,See minutes,
38,13,1,Vote,DOS2021-E008,,"Corkscrew Pines Infrastructure - Development Order (DOS2021-E008) (District 5) located on the south side of Corkscrew Road, east of Stoneybrook Golf Drive and west of Firehouse Lane. Applicant is proposing to construct the backbone infrastructure for futu",5,Corkscrew Road Widening Corridor,"Corkscrew Pines Infrastructure - Development Order (DOS2021-E008) (District 5) located on the south side of Corkscrew Road, east of Stoneybrook Golf Drive and west of Firehouse Lane. Applicant is proposing to construct the backbone infrastructure for futu. Action: Approved the infrastructure plan contingent upon the authorization of the CDD and the completion of the utility sign-offs",Approved the infrastructure plan contingent upon the authorization of the CDD and the completion of the utility sign-offs,,See minutes,
39,14,1,Vote,DOS2022-E006,,"Downtown Estero Infrastructure- Development Order (DOS2022- E006) (District 2) Located on the east side of US 41, north of Broadway and east of the Broadway Shoppes. - Applicant seeks to construct the backbone infrastructure for a 34-acre Mixed Planned De",2,US 41 / Tamiami Trail,"Downtown Estero Infrastructure- Development Order (DOS2022- E006) (District 2) Located on the east side of US 41, north of Broadway and east of the Broadway Shoppes. - Applicant seeks to construct the backbone infrastructure for a 34-acre Mixed Planned De. Action: Approved the Infrastructure Development Order (DOS2022-E006) to include a requirement of a fence as part of their buffer adjacent to Cypress Bend",Approved the Infrastructure Development Order (DOS2022-E006) to include a requirement of a fence as part of their buffer adjacent to Cypress Bend,,See minutes,
40,14,2,Vote,DOS2022-E009,,"Downtown Estero Residential - Development Order (DOS2022-E009) (District 2) Mixed Use Planned Development (MPD) on a 34-acre site, located on the east side of US 41, north of Broadway and east of the Broadway Shoppes. Applicant seeks to construct 300 mult",2,US 41 / Tamiami Trail,"Downtown Estero Residential - Development Order (DOS2022-E009) (District 2) Mixed Use Planned Development (MPD) on a 34-acre site, located on the east side of US 41, north of Broadway and east of the Broadway Shoppes. Applicant seeks to construct 300 mult. Action: Approved the residential Development Order (DOS2022-E009)",Approved the residential Development Order (DOS2022-E009),,See minutes,
41,14,3,Unknown,DCI2022-E006,,"Village Initiated Rezoning (DCI2022-E006) (District 5) 9000 Williams Road, located north of Williams Road and east of the railroad right of way. Village seeks to rezone +19 acres that includes the Golf Coast Driving Range and a vacant parcel, from Agricul",5,"9000 Williams Road, Estero, FL","Village Initiated Rezoning (DCI2022-E006) (District 5) 9000 Williams Road, located north of Williams Road and east of the railroad right of way. Village seeks to rezone +19 acres that includes the Golf Coast Driving Range and a vacant parcel, from Agricul. Action: Recommended approval to the Council with a conceptual site plan, and deletion of the hotel use","Recommended approval to the Council with a conceptual site plan, and deletion of the hotel use",,See minutes,
42,15,1,Vote,DOS2022-E008,,"Corkscrew Pines Self-Storage - Development Order (DOS2022-E008) (District 5) Located on the south side of Corkscrew Road, east of Stoneybrook Golf Drive and west of Firehouse Lane. Applicant is proposing to construct 3 storage buildings totaling ±150,000 ",5,Corkscrew Road Widening Corridor,"Corkscrew Pines Self-Storage - Development Order (DOS2022-E008) (District 5) Located on the south side of Corkscrew Road, east of Stoneybrook Golf Drive and west of Firehouse Lane. Applicant is proposing to construct 3 storage buildings totaling ±150,000 . Action: Approved the Development with the conditions as follows: columns 7, 8, 13, and 14 has an 8-inch projection forward, There will be a minimum 4-foot additional depth in the center of the building columns 8 through 11, the landscape buffer will be clustered and add depth and break up the linear run of the landscape buffer in general, the tower height is going to have a vertical differential minimum of two feet from the parapet of the building, the plants around the lift station and the garbage dumpster are going to be increased to a 48-inch minimum size, the cluster of trees at the west end of the building will go to a 14 to 16-foot minimum, and the west side of the building was going to have red maples instead of cypress, and we were going to add foundation plantings along the east, west, and north side of building one","Approved the Development with the conditions as follows: columns 7, 8, 13, and 14 has an 8-inch projection forward, There will be a minimum 4-foot additional depth in the center of the building columns 8 through 11, the landscape buffer will be clustered and add depth and break up the linear run of the landscape buffer in general, the tower height is going to have a vertical differential minimum of two feet from the parapet of the building, the plants around the lift station and the garbage dumpster are going to be increased to a 48-inch minimum size, the cluster of trees at the west end of the building will go to a 14 to 16-foot minimum, and the west side of the building was going to have red maples instead of cypress, and we were going to add foundation plantings along the east, west, and north side of building one",,See minutes,
43,15,2,Vote,LDO2022-E051,,The Brooks Commons Club - Pickleball Court Expansion Limited Development Order (LDO2022-E051) (District 6) Applicant is seeking approval for the redevelopment of a portion of the community's property on Coconut Road adjacent to the Commons Club. The park',6,Coconut Road,"The Brooks Commons Club - Pickleball Court Expansion Limited Development Order (LDO2022-E051) (District 6) Applicant is seeking approval for the redevelopment of a portion of the community's property on Coconut Road adjacent to the Commons Club. The park'. Action: Approved the Development with the following conditions: to delegate where the bicycle spaces will be in proximity to the courts, they have three months to remediate any sound violations, the sound violations will be set off Ansi standards of 55 decibels, and staff will work with the applicant to meet the lighting requirements","Approved the Development with the following conditions: to delegate where the bicycle spaces will be in proximity to the courts, they have three months to remediate any sound violations, the sound violations will be set off Ansi standards of 55 decibels, and staff will work with the applicant to meet the lighting requirements",,See minutes,
44,15,3,Ordinance,Ordinance 2023-05,,"Ordinance Review - Capital Improvement Schedule Update Review Ordinance 2023-05, updating the Capital Improvements Element which includes the Capital Improvement Program approved for Fiscal Year 2022/2023",,,"Ordinance Review - Capital Improvement Schedule Update Review Ordinance 2023-05, updating the Capital Improvements Element which includes the Capital Improvement Program approved for Fiscal Year 2022/2023. Action: Recommended to Council to approve Ordinance",Recommended to Council to approve Ordinance,,See minutes,
