AgendaItemID,MeetingDate,ProjectTitle,LocationName,Location,Latitude,Longitude,CoordinateType,GeocodeConfidence,GeocodeSource,GeocoderDisplayName,EvidenceStatus,EvidenceReason,EvidenceSnippet,Document_Link
584,2023-06-21,8801 Corkscrew Road Structure Demolition - RFB 2023-04,8801 Corkscrew Road,"8801 Corkscrew Road, Estero, FL",26.4314164,-81.8086621,address_point,0.7,nominatim,"8801, Corkscrew Road, The Estates at Estero River, Estero, Lee County, Florida, 33928, United States",supported,exact_or_alias,"8801 Corkscrew Road Structure Demolition - RFB 2023-04. Action: Approved award of Request for Bids No. RFB 2023-04, 8801 Corkscrew Road Structure Demolition to Southwest Builders Inc. to demolish the structure located at 8801 Corkscrew Road at a grand total cost of $106,890, approve a contingency fund amount of $10,689 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on beh...",https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/06212023%20%20minutes.pdf
586,2023-06-21,8801 Corkscrew Road Debris Removal - EC 2023-21 Amendment 1,8801 Corkscrew Road,"8801 Corkscrew Road, Estero, FL",26.4314164,-81.8086621,address_point,0.7,nominatim,"8801, Corkscrew Road, The Estates at Estero River, Estero, Lee County, Florida, 33928, United States",supported,exact_or_alias,"8801 Corkscrew Road Debris Removal - EC 2023-21 Amendment 1. Action: Approved award Amendment 1 to Contract EC 2023-21 to mulch all debris and downed trees located at 8801 Corkscrew Road for $11,886.89 and authorize the Village Manager to sign the contract amendment and other additional implementing documents within the scope of the contract amendment on behalf of the Village of Estero Council",https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/06212023%20%20minutes.pdf
1467,2023-06-21,"Approved award of Request for Bids No. RFB 2023-04, 8801 Corkscrew Road Structure Demoliti",8801 Corkscrew Road,"8801 Corkscrew Road, Estero, FL",26.4314164,-81.8086621,address_point,0.7,nominatim,"8801, Corkscrew Road, The Estates at Estero River, Estero, Lee County, Florida, 33928, United States",supported,exact_or_alias,"Approved award of Request for Bids No. RFB 2023-04, 8801 Corkscrew Road Structure Demolition to Southwest Builders Inc. to demolish the structure located at 8801 Corkscrew Road at a grand total cost of $106,890, approve a contingency fund amount of $10,689 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero Council with the instructions that...",https://raw.githubusercontent.com/krocks9903/EagleGIS/script/pdfs/06212023%20minutes.pdf
989,2023-10-18,8801 Corkscrew Road Structure Demolition - RFB 2023-04,8801 Corkscrew Road,"8801 Corkscrew Road, Estero, FL",26.4314164,-81.8086621,address_point,0.7,nominatim,"8801, Corkscrew Road, The Estates at Estero River, Estero, Lee County, Florida, 33928, United States",supported,exact_or_alias,"8801 Corkscrew Road Structure Demolition - RFB 2023-04. Action: Approved award of Request for Bids No. RFB 2023-04, 8801 Corkscrew Road Structure Demolition to Southwest Builders Inc. to demolish the structure located at 8801 Corkscrew Road at a grand total cost of $106,890, approve a contingency fund amount of $10,689 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on beh...",https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/10182023%20minutes.pdf
305,2022-04-06,"Resolution No. 2022-06 a Resolution Approving a Commercial Contract for the Purchase of Real Estate from GESS Family Partnership + Gulf Coast Driving Range LLC, located at 9000 Williams Road, Estero, Florida; Providing for Due Diligence; and Provi...",9000 Williams Road,"9000 Williams Road, Estero, FL",26.4201213,-81.8206708,address_point,0.7,nominatim,"Williams Road, Meadows of Estero, Rapallo at Coconut Point, Shadow Wood, Estero, Lee County, Florida, 33928, United States",supported,exact_or_alias,"Resolution No. 2022-06 a Resolution Approving a Commercial Contract for the Purchase of Real Estate from GESS Family Partnership + Gulf Coast Driving Range LLC, located at 9000 Williams Road, Estero, Florida; Providing for Due Diligence; and Providing an . Action: Approved Resolution No. 2022-06 Commercial Contract for the Purchase of Real Estate from Gess Family Partnership + Gulf Coast Driving Range LLC, Located at 9000 Williams Road, Estero, Florida",https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/04062022%20minutes.pdf
1215,2015-12-16,"passed the ordinance and the Bill passed as written, the ordinance would be preempted; how",9201 and 9301 Corkscrew Road,"9201 and 9301 Corkscrew Road, Estero, FL",26.432264859989,-81.801155452524,address_point,0.98,arcgis_world_geocoder,"9301 Corkscrew Rd, Estero, Florida, 33928",supported,exact_or_alias,"passed the ordinance and the Bill passed as written, the ordinance would be preempted; however, if the wording in the Bill was rewritten, the portion that would preempt the Village from controlling the zoning would be reinstated. He continued that he was not in favor of fracking; however, he wanted to be practical and put in laws that meant something. He stated that his responsibility was to represent the people; although he did not believe that the ordinance would accomplish anything, he wou...",https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/121615%20Regular%20Meeting%20Approved%20Minutes.pdf
1409,2020-04-22,"APPROVED BY THE COUNCIL MAY 27, 2020 COVID-19 NOTICE: Pursuant to Executive Order No. 20-6",9401 Corkscrew Palms Circle,"9401 Corkscrew Palms Circle, Estero, FL",26.4307470,-81.7981430,address_point,0.7,nominatim,"9401, Corkscrew Palms Circle, The Estates at Estero River, Estero, Lee County, Florida, 33928, United States",supported,exact_or_alias,"APPROVED BY THE COUNCIL MAY 27, 2020 COVID-19 NOTICE: Pursuant to Executive Order No. 20-69, issued by the Office of Governor Ron DeSantis on March 20, 2020, municipalities may conduct meetings of their governing boards without having a quorum ofits members present physically or at any specific location, and utilizing communications media technology such as telephonic or video conferencing, as provided by Section 120.54(5)(b )2, Florida Statutes. The Village ofEstero held this virtual public...",https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/2020-04-22%20Council%20Meeting%20Approved%20Minutes.pdf
418,2015-05-15,adopted Lee County Ordinances at incorporation; and that the cost of updated flood maps wa,BERT Rail Trail Corridor,"Estero, FL",26.4339,-81.8157,representative_linear_or_area_point,0.9,curated_seed,,supported,exact_or_alias,"adopted Lee County Ordinances at incorporation; and that the cost of updated flood maps was included in the proposed interlocal agreement. Discussion followed regarding possible Bert Harris lawsuits, pending legislation that precludes such lawsuits, time required to review the application, rate policies of insurance companies, and unrelated insurance surcharges. After Mr. Overmyer reviewed specific activities that could help achieve a higher rating, further discussion occurred regarding the r...",https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/05152015%20minutes.pdf
268,2025-04-02,BERT Memorandum of Agreement,BERT Rail Trail Corridor,"Estero, FL",26.4339,-81.8157,representative_linear_or_area_point,0.9,curated_seed,,supported,exact_or_alias,BERT Memorandum of Agreement. Action: Approved the BERT Memorandum of Agreement and to authorize the Village Manager to approve any minor revisions requested by the other partners to the agreement,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/04022025.pdf
255,2016-03-23,Letter to Lee County Requesting Support for Capital Projects within Estero,Bella Terra,"Bella Terra, Estero, FL",26.4346867,-81.7289876,representative_area_point,0.7,nominatim,"Bella Terra, Estero, Lee County, Florida, 33965, United States",supported,exact_or_alias,"Letter to Lee County Requesting Support for Capital Projects within Estero. Action: Authorized the Village Manager to submit a letter to Lee County requesting support for traffic control for Bella Terra and Corkscrew Road, the sidewalk project on Estero Parkway, and resurfacing Estero Parkway",https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/032316%20Council%20Meeting%20Approved%20Minutes.pdf
5,2024-01-03,Village Wide Traffic Study Contract,Bella Terra,"Bella Terra, Estero, FL",26.4346867,-81.7289876,representative_area_point,0.7,nominatim,"Bella Terra, Estero, Lee County, Florida, 33965, United States",supported,exact_or_alias,"Village Wide Traffic Study Contract. Action: Approved Contract EC 2024-07 with Johnson Engineering, Inc. to prepare the Village Wide Traffic Study for $249,480, approve a $25,000 contingency for additional services that may be required to complete the project, authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and authorize the Village Manager to execute an amendment to the...",https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/01032024%20minutes.pdf
766,2016-08-31,University Landscaping Operation and Maintenance Special Improvement Unit (University Landscaping MSBU) Councilmember Ribble addressed Estero Parkway paving and spoke to the positive response during meetings with Lee County representatives. The me...,Ben Hill Griffin Parkway,"Ben Hill Griffin Parkway, Estero, FL",26.4377157,-81.7708838,representative_linear_or_area_point,0.7,nominatim,"Ben Hill Griffin Parkway, Estero, Lee County, Florida, 33928, United States",supported,exact_or_alias,University Landscaping Operation and Maintenance Special Improvement Unit (University Landscaping MSBU) Councilmember Ribble addressed Estero Parkway paving and spoke to the positive response during meetings with Lee County representatives. The meeting we. Action: Approved the Interlocal Agreement with Lee County for the continuation of the University Landscaping Operation and Maintenance Special Improvement Unit to provide an enhanced level oflandscaping along certain portions of Corkscrew R...,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/083116%20Council%20Meeting%20Approved%20Minutes.pdf
182,2021-03-03,Ben Hill Griffin Landscape Design,Ben Hill Griffin Parkway,"Ben Hill Griffin Parkway, Estero, FL",26.4377157,-81.7708838,representative_linear_or_area_point,0.7,nominatim,"Ben Hill Griffin Parkway, Estero, Lee County, Florida, 33928, United States",supported,exact_or_alias,"Ben Hill Griffin Landscape Design. Action: Approved Ben Hill Griffin Parkway Preliminary Landscape Design contracts with Bruce Howard and Associates under EC2020-42 and RWA Engineering under EC2020-67 to perform a suite of design services for the proposed landscape improvements along Ben Hill Griffin Parkway from Corkscrew Road to Estero Parkway, approve a 10% contingency for additional services that may be required to complete the project, and Authorize the Village Manager to sign the Supple...",https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/0232021%20minutes.pdf
356,2022-04-20,Ben Hill Griffin Parkway Improvements Design and Permitting Contracts,Ben Hill Griffin Parkway,"Ben Hill Griffin Parkway, Estero, FL",26.4377157,-81.7708838,representative_linear_or_area_point,0.7,nominatim,"Ben Hill Griffin Parkway, Estero, Lee County, Florida, 33928, United States",supported,exact_or_alias,Ben Hill Griffin Parkway Improvements Design and Permitting Contracts. Action: Approved Ben Hill Griffin Parkway Improvements contracts with Bruce Howard and Associates under EC2020-42 STA - 07 and CW3 Engineering under EC2020-48 STA - 09 to perform landscape architecture and engineering services for the proposed improvements along Ben Hill Griffin Parkway from Corkscrew Road to Estero Parkway,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/04202022%20minutes.pdf
741,2017-08-02,"Questions or Comments: Vice Mayor Ribble and Councilmember Errington. It was noted that the Village went out for bids, none were received, and the issue requires immediate attention",Broadway Avenue,"Broadway Avenue, Estero, FL",26.4419378,-81.8241581,representative_linear_or_area_point,0.7,nominatim,"Broadway Avenue West, Terra Vista, Cranbrook Harbor, Estero, Lee County, Florida, 33928, United States",supported,exact_or_alias,"Questions or Comments: Vice Mayor Ribble and Councilmember Errington. It was noted that the Village went out for bids, none were received, and the issue requires immediate attention. Action: Adopted Resolution No. 2017-23 Authorizing the Waiving of Competitive Bidding Procedures and Authorizing the Village Manager to Execute a Contract for Emergency Replacement of the Culvert, Abutments, and Related Ditching for the Stonnwater Conveyance System under Broadway Avenue West, near US 41, with a C...",https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/080217%20Council%20Meeting%20Approved%20Minutes.pdf
228,2022-03-16,"Purchase of the 10-acre vacant parcel, commonly known as ""River Oaks"" at the east end of Broadway Avenue",Broadway Avenue,"Broadway Avenue, Estero, FL",26.4419378,-81.8241581,representative_linear_or_area_point,0.7,nominatim,"Broadway Avenue West, Terra Vista, Cranbrook Harbor, Estero, Lee County, Florida, 33928, United States",supported,exact_or_alias,"Purchase of the 10-acre vacant parcel, commonly known as ""River Oaks"" at the east end of Broadway Avenue. Action: Approved the purchase of the 10-acre vacant parcel, commonly known as ""River Oaks"" at the east end of Broadway Avenue",https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/03162022%20minutes.pdf
304,2022-04-06,"Resolution No. 2022-05 a Resolution Confirming the Approval of Purchase of a Vacant Land Contract for Purchase of Property Located at Broadway E., Estero (River Oaks) from Old Town Preservation & Management Inc.; and Providing an Effective Date",Broadway Avenue,"Broadway Avenue, Estero, FL",26.4419378,-81.8241581,representative_linear_or_area_point,0.7,nominatim,"Broadway Avenue West, Terra Vista, Cranbrook Harbor, Estero, Lee County, Florida, 33928, United States",supported,exact_or_alias,"Resolution No. 2022-05 a Resolution Confirming the Approval of Purchase of a Vacant Land Contract for Purchase of Property Located at Broadway E., Estero (River Oaks) from Old Town Preservation & Management Inc.; and Providing an Effective Date. Action: Approved Resolution No. 2022-05 to purchase the 10-acre vacant parcel, commonly known as ""River Oaks"" at the east end of Broadway Avenue",https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/04062022%20minutes.pdf
353,2022-04-20,"Resolution No. 2022-08 A Resolution for Approval of Purchase of a Vacant Land Contract for Purchase of Property Located at Broadway E., Estero (River Oaks) from Old Town Preservation & Management Inc.; and Providing an Effective Date",Broadway Avenue,"Broadway Avenue, Estero, FL",26.4419378,-81.8241581,representative_linear_or_area_point,0.7,nominatim,"Broadway Avenue West, Terra Vista, Cranbrook Harbor, Estero, Lee County, Florida, 33928, United States",supported,exact_or_alias,"Resolution No. 2022-08 A Resolution for Approval of Purchase of a Vacant Land Contract for Purchase of Property Located at Broadway E., Estero (River Oaks) from Old Town Preservation & Management Inc.; and Providing an Effective Date. Action: Adopted Resolution No. 2022-08 to purchase the 10-acre vacant parcel, commonly known as ""River Oaks"" at the east end of Broadway Avenue",https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/04202022%20minutes.pdf
110,2022-02-02,CN 2022-03 Broadway West UEP Design and Permitting Services,Broadway Avenue,"Broadway Avenue, Estero, FL",26.4419378,-81.8241581,representative_linear_or_area_point,0.7,nominatim,"Broadway Avenue West, Terra Vista, Cranbrook Harbor, Estero, Lee County, Florida, 33928, United States",supported,exact_or_alias,"CN 2022-03 Broadway West UEP Design and Permitting Services. Action: Approved the consultants ranking for Broadway Avenue West Utilities Extension Project (UEP) as follows: Number 1 - Johnson Engineering, Inc.; Number 2 - Tetra Tech, Inc.; Number 3 - CW3 Engineering, Inc.; Number 4 - JR Evans Engineering, P.A., and authorize staff to negotiate a contract with the Number 1 ranked firm, Johnson Engineering, Inc. to provide professional consulting services for the Broadway Avenue West Utilities...",https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/02022022%20minutes.pdf
111,2022-02-02,CN 2022-04 Broadway Avenue East Utilities Extension Project (UEP) Design and Permitting Services,Broadway Avenue,"Broadway Avenue, Estero, FL",26.4419378,-81.8241581,representative_linear_or_area_point,0.7,nominatim,"Broadway Avenue West, Terra Vista, Cranbrook Harbor, Estero, Lee County, Florida, 33928, United States",supported,exact_or_alias,"CN 2022-04 Broadway Avenue East Utilities Extension Project (UEP) Design and Permitting Services. Action: Approved the consultants ranking for Broadway Avenue East Utilities Extension Project (UEP) as follows: Number 1 - Tetra Tech, Inc.; Number 2 - Johnson Engineering, Inc.; Number 3 - CW3 Engineering, Inc.; Number 4 - JR Evans Engineering, P.A., and authorize staff to negotiate a contract with the Number 1 ranked firm, Tetra Tech, Inc. to provide professional consulting services for the Bro...",https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/02022022%20minutes.pdf
924,2025-10-01,Approval of FDEP Grant L0187 for Estero Broadway Ave East Phase 1 Project,Broadway Avenue,"Broadway Avenue, Estero, FL",26.4419378,-81.8241581,representative_linear_or_area_point,0.7,nominatim,"Broadway Avenue West, Terra Vista, Cranbrook Harbor, Estero, Lee County, Florida, 33928, United States",supported,exact_or_alias,"Approval of FDEP Grant L0187 for Estero Broadway Ave East Phase 1 Project. Action: Approved the Florida DEP Standard Grant Agreement for the Estero Broadway Avenue East Phase 1 project (Agreement Number L0187), and to authorize the Village Manager or designee to execute all related documents",https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/10012025.pdf
312,2021-04-07,US 41 Landscape Improvements RFB 2021-02,Broadway Avenue East UEP,"Broadway Avenue East, Estero, FL",26.442,-81.8054,representative_linear_or_area_point,0.9,curated_seed,,supported,exact_or_alias,"US 41 Landscape Improvements RFB 2021-02. Action: Approved award of Request for Bids No. RFB 2021-02, US 41 Landscape Improvements Broadway East to Vintage Parkway and Coconut Road to Fountain Lakes Boulevard to P & T Lawn and Tractor Service, Inc. at a Grand Total Cost of $118,075, approve a contingency fund amount of $11,800 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract and any...",https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/04072021%20minutes.pdf
109,2022-02-02,CN 2022-02 Design and Permitting Services for Sandy Lane & Broadway East Bicycle / Pedestrian Improvements,Broadway Avenue East UEP,"Broadway Avenue East, Estero, FL",26.442,-81.8054,representative_linear_or_area_point,0.9,curated_seed,,supported,exact_or_alias,"CN 2022-02 Design and Permitting Services for Sandy Lane & Broadway East Bicycle / Pedestrian Improvements. Action: Approved the consultants ranking for Sandy Lane and Broadway East Bicycle/Pedestrian Improvements Project as follows: Number 1 - Atkins North America, Inc.; Number 2 - CW3 Engineering, Inc.; Number 3 - Kimley-Horn and Associates, Inc.; Number 4 - Q. Grady Minor & Associates, P.A., and authorize staff to negotiate a contract with the Number 1 ranked firm, Atkins North America, In...",https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/02022022%20minutes.pdf
