item_id,meeting_id,item_number,item_type,application_id,applicant_name,project_title,district,address_raw,summary,outcome,motion_text,vote_result,created_at
11,2,4,Resolution,2017-03,,Adopted Resolution No. 2017-03 and approved the agreement between the Village and Pritchar,,,Adopted Resolution No. 2017-03 and approved the agreement between the Village and Pritchard Construction LLC as amended,Adopted Resolution No. 2017-03 and approved the agreement between the Village and Pritchard Construction LLC as amended,,Detected,
12,2,5,Contract Approval,,Lee County This agreement will provide the Village with maintenance services,Traffic Signal Maintenance Agreement with Lee County This agreement will provide the Village with maintenance services for the traffic signal intersection at Via Coconut Point and Coconut Road,,,Traffic Signal Maintenance Agreement with Lee County This agreement will provide the Village with maintenance services for the traffic signal intersection at Via Coconut Point and Coconut Road. Action: Approved the Traffic Signal Maintenance Agreement with Lee County,Approved the Traffic Signal Maintenance Agreement with Lee County,,Detected,
13,2,6,Ordinance,2017-01,,"Estero United Methodist Church Zoning Amendment Ordinance No. 2017-01 An Ordinance of the Village Council of the Village of Estero, Florida, approving an amendment to the community facilities planned development with deviations to allow for reconfiguratio",,,"Estero United Methodist Church Zoning Amendment Ordinance No. 2017-01 An Ordinance of the Village Council of the Village of Estero, Florida, approving an amendment to the community facilities planned development with deviations to allow for reconfiguratio. Action: Passed first reading and set second reading and public hearing date for January 18, 2017","Passed first reading and set second reading and public hearing date for January 18, 2017",,Detected,
14,2,7,Ordinance,2016-15,,Passed second reading and adopted Ordinance No. 2016-15,,,Passed second reading and adopted Ordinance No. 2016-15,Passed second reading and adopted Ordinance No. 2016-15,,Detected,
15,2,8,Ordinance,2016-16,,"Rezoning for the Reef Phase II Second Reading and Public Hearing Ordinance No. 2016-16 an Ordinance of the Village Council of the Village ofEstero, Florida, Approving a Rezoning from Commercial Planned Development to Residential Planned Development with O",,,"Rezoning for the Reef Phase II Second Reading and Public Hearing Ordinance No. 2016-16 an Ordinance of the Village Council of the Village ofEstero, Florida, Approving a Rezoning from Commercial Planned Development to Residential Planned Development with O. Action: Passed second reading and adopted Ordinance No. 2016-16",Passed second reading and adopted Ordinance No. 2016-16,,Detected,
16,3,1,Administrative,ff,June 8,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS",,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS. Action: Motion to permit Councilmember Ribble to participate remotely in Zoom Presentation. Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Village Council meetings from June 8, 2016, forward, as well as agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date","Motion to permit Councilmember Ribble to participate remotely in Zoom Presentation. Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Village Council meetings from June 8, 2016, forward, as well as agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date",,Detected,
17,3,2,Administrative,,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS",,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS. Action: Approved agenda",Approved agenda,,Detected,
18,3,3,Consent Agenda,,,Financial Report for Month ended November 2022,,,Financial Report for Month ended November 2022. Action: Approved the Consent Agenda,Approved the Consent Agenda,,Detected,
19,3,4,Contract Approval,2019-36,Coastal Engineering Consultants,Estero River Sediment Analysis EC 2019-36 Change Order #1,,Estero River,"Estero River Sediment Analysis EC 2019-36 Change Order #1. Action: Approved Change Order #1 to Contract EC 2019-36 in the amount of $46,980 with Coastal Engineering Consultants, Inc. for additional work required to address environmental permit application questions from the Florida Department of Environmental Protection for the proposed dredging of sediments from the Estero River","Approved Change Order #1 to Contract EC 2019-36 in the amount of $46,980 with Coastal Engineering Consultants, Inc. for additional work required to address environmental permit application questions from the Florida Department of Environmental Protection for the proposed dredging of sediments from the Estero River",,Detected,
20,3,5,Unknown,,,VILLAGE MANAGER'S REPORT,,,"VILLAGE MANAGER'S REPORT. Action: Accepted the Village's portion of the Opiod Settlement in the amount of $14,400","Accepted the Village's portion of the Opiod Settlement in the amount of $14,400",,,
21,4,1,Administrative,,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS",,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS. Action: Approved agenda",Approved agenda,,Detected,
22,4,2,Consent Agenda,,,Financial Report for Month ended October 2021,,,Financial Report for Month ended October 2021. Action: Approved the Consent Agenda,Approved the Consent Agenda,,Detected,
23,4,3,Resolution,2022-01,,"Resolution No. 2022-01 of the Village Council of the Village of Estero, Florida, Amending Resolution No. 2021-16 Adopting Personnel Policies; and Providing an Effective Date",,,"Resolution No. 2022-01 of the Village Council of the Village of Estero, Florida, Amending Resolution No. 2021-16 Adopting Personnel Policies; and Providing an Effective Date. Action: Adopted Resolution No. 2022-01",Adopted Resolution No. 2022-01,,Detected,
24,4,4,Contract Approval,2021-01,,Estero Parkway Landscape Maintenance Contract,,Estero Parkway,"Estero Parkway Landscape Maintenance Contract. Action: Approved award of Request for Bid No. RFB 2021-01, Mowing, Landscape, and Irrigation Maintenance for the Village of Estero to P & T Lawn and Tractor Service, Inc. to provide mowing, landscape, and irrigation maintenance services Estero Parkway Landscaping as provided in the contract for a one-year period, at a rate of $358,276.00 per year. Authorized the Village Manager to renegotiate and execute the renewal of this contract for three additional one-year terms under the same terms and conditions, if doing so is in the best interest of the Village of Estero, approve a contingency fund amount of $ 71,700 (20% contingency) to cover unforeseen circumstances which may occur. This will include repairs of the irrigation system and replacement of plant material, as needed, and authorized the Village Manager to execute the contract documents on behalf of the Village of Estero Council","Approved award of Request for Bid No. RFB 2021-01, Mowing, Landscape, and Irrigation Maintenance for the Village of Estero to P & T Lawn and Tractor Service, Inc. to provide mowing, landscape, and irrigation maintenance services Estero Parkway Landscaping as provided in the contract for a one-year period, at a rate of $358,276.00 per year. Authorized the Village Manager to renegotiate and execute the renewal of this contract for three additional one-year terms under the same terms and conditions, if doing so is in the best interest of the Village of Estero, approve a contingency fund amount of $ 71,700 (20% contingency) to cover unforeseen circumstances which may occur. This will include repairs of the irrigation system and replacement of plant material, as needed, and authorized the Village Manager to execute the contract documents on behalf of the Village of Estero Council",,Detected,
25,4,5,Vote,te,,National Opioid Settlement,,,National Opioid Settlement. Action: Authorized the Village Manager and Village Attorney to execute any documents necessary to maintain participation in the State of Florida settlement,Authorized the Village Manager and Village Attorney to execute any documents necessary to maintain participation in the State of Florida settlement,,Detected,
26,4,6,Ordinance,2022-01,,"Ordinance No. 2022-01 An Ordinance of the Village Council of the Village of Estero, Florida, Approving Updates to the Capital Improvements Element to Update the Capital Improvements Schedule for Fiscal Year 2021/2022 and Adopt the most Recent Lee County S",,,"Ordinance No. 2022-01 An Ordinance of the Village Council of the Village of Estero, Florida, Approving Updates to the Capital Improvements Element to Update the Capital Improvements Schedule for Fiscal Year 2021/2022 and Adopt the most Recent Lee County S. Action: Passed first reading and schedule second reading and public hearing for January 19, 2022","Passed first reading and schedule second reading and public hearing for January 19, 2022",,Detected,
27,5,1,Vote,,,APPROVAL OF AGENDA,,,APPROVAL OF AGENDA. Action: Approved the agenda,Approved the agenda,,Detected,
28,5,2,Consent Agenda,,,"Approval of Minutes (1) November 16, 2015 Workshop (2) November 18, 2015 Regular Meeting (3) November 23, 2015 Workshop (4) December 2, 2015 Regular Meeting (5) December 11, 2015 Workshop (6) December 16, 2015 Regular Meeting",,,"Approval of Minutes (1) November 16, 2015 Workshop (2) November 18, 2015 Regular Meeting (3) November 23, 2015 Workshop (4) December 2, 2015 Regular Meeting (5) December 11, 2015 Workshop (6) December 16, 2015 Regular Meeting. Action: Approved the Consent Agenda",Approved the Consent Agenda,,Detected,
29,5,3,Ordinance,2016-01,,"First Reading: Ordinance No. 2016-01 An Ordinance of the Village Council of the Village of Estero, Florida, Approving the Third Budget Amendment for Fiscal Year 2015-2016; and Providing an Effective Date",,,"First Reading: Ordinance No. 2016-01 An Ordinance of the Village Council of the Village of Estero, Florida, Approving the Third Budget Amendment for Fiscal Year 2015-2016; and Providing an Effective Date. Action: Approved first reading of Ordinance No. 2016-01",Approved first reading of Ordinance No. 2016-01,,Detected,
30,5,4,Resolution,2016-01,,"Resolution No. 2016-01 A Resolution of the Village Council of the Village ofEstero, Florida, Approving the Lee County Multijurisdictional Program for Public Information Providing New Comprehensive Outreach Strategy Options for the Distribution of Flood Ha",,,"Resolution No. 2016-01 A Resolution of the Village Council of the Village ofEstero, Florida, Approving the Lee County Multijurisdictional Program for Public Information Providing New Comprehensive Outreach Strategy Options for the Distribution of Flood Ha. Action: Adopted Resolution No. 2016-01",Adopted Resolution No. 2016-01,,Detected,
31,5,5,Resolution,2016-02,,"Resolution No. 2016-02 A Resolution of the Village Council of the Village ofEstero, Florida, Approving the Roadway Lighting System Maintenance Agreement between the Village of Estero and State of Florida, Department of Transportation; Authorizing the Vill",,,"Resolution No. 2016-02 A Resolution of the Village Council of the Village ofEstero, Florida, Approving the Roadway Lighting System Maintenance Agreement between the Village of Estero and State of Florida, Department of Transportation; Authorizing the Vill. Action: Adopted Resolution No. 2016-02",Adopted Resolution No. 2016-02,,Detected,
32,5,6,Resolution,2016-03,,"Resolution No. 2016-03 A Resolution of the Village Council of the Village of Estero, Florida, Authorizing the Waiving of Competitive Bidding Procedures and Authorizing the",,,"Resolution No. 2016-03 A Resolution of the Village Council of the Village of Estero, Florida, Authorizing the Waiving of Competitive Bidding Procedures and Authorizing the. Action: Adopted Resolution No. 2016-03",Adopted Resolution No. 2016-03,,Detected,
33,5,7,Administrative,ff,,No action required. 8. PUBLIC INPUT ON NON-AGENDA ITEMS: None. 9. COUNCIL COMMUNICATIONS I,6,"21500 Three Oaks Parkway, Estero, FL","No action required. 8. PUBLIC INPUT ON NON-AGENDA ITEMS: None. 9. COUNCIL COMMUNICATIONS I FUTURE AGENDA ITEMS Councilmember Ribble expressed appreciation regarding today's workshop being scheduled. Councilmember Brown expressed appreciation regarding the zip code issue being resolved. Councilmember Wilson requested that a ""Council Compensation"" workshop item be added to the February 24, 2016 workshop agenda, or as soon as possible thereafter. 10. VILLAGE ATTORNEY COMMENTS None. 11. VILLAGE MANAGER COMMENTS Village Manager Sarkozy discussed: (1) additional duties that would be assigned to the Village Clerk in the near future and the need to begin preparing abbreviated minutes; (2) conflicts with use of the Fire District meeting room on February 3 and 17, suggested canceling the two meetings and rescheduling a regular Council meeting for another date in February. There was consensus by voice vote. 12. ADJOURN TO WORKSHOP: 10:27 a.m. ATTEST: By:~, ~...e.-+-'~~.,.__...._Y4_µ.{_;~_ KathyHau, MMC Village Clerk By: ·. Nicholas Batos · Mayor Village Council Regular Meeting Final Action Agenda/Minutes - January 6, 2016 Page 5 of5 This Final Action Agenda/Minutes is supplemented by electronic recordings of the meeting, which may be reviewed upon request to the Village ""Clerk. Staff reports, resolutions, ordinances, and other documents related to this meeting are available at https://estero-fl.gov/agendas/ at the corresponding agenda date. APPROVED BY COUNCIL JANUARY 20, 2016 FINAL ACTION AGENDA/MINUTES Village of Estero 21500 Three Oaks Parkway Estero, FL 33928 Village Council Workshop January 6, 2016 Immediately Following Council Regular Meeting 1. CALL TO ORDER: 10:35 a.m. 2. ROLL CALL: Present: Mayor Nick Batos - District 6, Vice Mayor Howard Levitan - District 2, Councilmember Bill Ribble, District 1, Councilmember Donald Brown - District 3, Councilmember Jim Boesch - District 5, and Councilmember Jim Wilson - District 7. Absent: Councilmember Katy Errington - District 4 ( excused absence). Also present: Village Manager Steve Sarkozy, Village Attorney Burt Saunders, Village Clerk Kathy Hall, and Village Community Development Director Mary Gibbs. 3. UPDATE AND DISCUSSION: Bonita Springs Projects - Pelican Landing and Weeks Fish Camp Village Manager Sarkozy and Community Development Director Gibbs provided a brief explanation and overview of the proposed Bonita Springs projects that would affect traffic in the southwest portion of the Village. Questions or Comments by: Councilmembers Wilson and Ribble","No action required. 8. PUBLIC INPUT ON NON-AGENDA ITEMS: None. 9. COUNCIL COMMUNICATIONS I FUTURE AGENDA ITEMS Councilmember Ribble expressed appreciation regarding today's workshop being scheduled. Councilmember Brown expressed appreciation regarding the zip code issue being resolved. Councilmember Wilson requested that a ""Council Compensation"" workshop item be added to the February 24, 2016 workshop agenda, or as soon as possible thereafter. 10. VILLAGE ATTORNEY COMMENTS None. 11. VILLAGE MANAGER COMMENTS Village Manager Sarkozy discussed: (1) additional duties that would be assigned to the Village Clerk in the near future and the need to begin preparing abbreviated minutes; (2) conflicts with use of the Fire District meeting room on February 3 and 17, suggested canceling the two meetings and rescheduling a regular Council meeting for another date in February. There was consensus by voice vote. 12. ADJOURN TO WORKSHOP: 10:27 a.m. ATTEST: By:~, ~...e.-+-'~~.,.__...._Y4_µ.{_;~_ KathyHau, MMC Village Clerk By: ·. Nicholas Batos · Mayor Village Council Regular Meeting Final Action Agenda/Minutes - January 6, 2016 Page 5 of5 This Final Action Agenda/Minutes is supplemented by electronic recordings of the meeting, which may be reviewed upon request to the Village ""Clerk. Staff reports, resolutions, ordinances, and other documents related to this meeting are available at https://estero-fl.gov/agendas/ at the corresponding agenda date. APPROVED BY COUNCIL JANUARY 20, 2016 FINAL ACTION AGENDA/MINUTES Village of Estero 21500 Three Oaks Parkway Estero, FL 33928 Village Council Workshop January 6, 2016 Immediately Following Council Regular Meeting 1. CALL TO ORDER: 10:35 a.m. 2. ROLL CALL: Present: Mayor Nick Batos - District 6, Vice Mayor Howard Levitan - District 2, Councilmember Bill Ribble, District 1, Councilmember Donald Brown - District 3, Councilmember Jim Boesch - District 5, and Councilmember Jim Wilson - District 7. Absent: Councilmember Katy Errington - District 4 ( excused absence). Also present: Village Manager Steve Sarkozy, Village Attorney Burt Saunders, Village Clerk Kathy Hall, and Village Community Development Director Mary Gibbs. 3. UPDATE AND DISCUSSION: Bonita Springs Projects - Pelican Landing and Weeks Fish Camp Village Manager Sarkozy and Community Development Director Gibbs provided a brief explanation and overview of the proposed Bonita Springs projects that would affect traffic in the southwest portion of the Village. Questions or Comments by: Councilmembers Wilson and Ribble",,Detected,
34,6,1,Administrative,,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS",,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS. Action: Approved agenda",Approved agenda,,Detected,
35,6,2,Consent Agenda,,,Financial Report for Month ended October 2024,,,Financial Report for Month ended October 2024. Action: Approved consent agenda,Approved consent agenda,,Detected,
36,6,3,Contract Approval,2022-38,,Village of Estero Water Monitoring Contract - 2025,,,"Village of Estero Water Monitoring Contract - 2025. Action: Approved award of Task Authorization 14 to Contract EC 2022-38 to Johnson Engineering to provide water monitoring services for The Village of Estero for $193,411, approve a $19,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village of Estero Council","Approved award of Task Authorization 14 to Contract EC 2022-38 to Johnson Engineering to provide water monitoring services for The Village of Estero for $193,411, approve a $19,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village of Estero Council",,Detected,
37,6,4,Ordinance,2024-14,Conditions an Amendment,"First reading of Zoning Ordinance No. 2024-14, Coconut Trace CPD Amendment - Tract F An Ordinance of the Village Council of the Village of Estero, Florida, Approving with Conditions an Amendment to the Commercial Planned Development and a Deviation for a ",,,"First reading of Zoning Ordinance No. 2024-14, Coconut Trace CPD Amendment - Tract F An Ordinance of the Village Council of the Village of Estero, Florida, Approving with Conditions an Amendment to the Commercial Planned Development and a Deviation for a . Action: Passed first reading and schedule second reading for February 5, 2025 and the applicant will provide us with additional information","Passed first reading and schedule second reading for February 5, 2025 and the applicant will provide us with additional information",,Detected,
38,6,5,Ordinance,,,"First Reading of Ordinance 2025-01 regarding Village seal and administrative code. An Ordinance of the Village Council of the Village of Estero, Florida, Amending § 2-1 (Official Seal) and § 2-2 (Administrative Code) of the Village Code; Making Related Fi",,,"First Reading of Ordinance 2025-01 regarding Village seal and administrative code. An Ordinance of the Village Council of the Village of Estero, Florida, Amending § 2-1 (Official Seal) and § 2-2 (Administrative Code) of the Village Code; Making Related Fi. Action: Passed first reading and schedule second reading for January 22, 2025","Passed first reading and schedule second reading for January 22, 2025",,Detected,
39,7,1,Unknown,,,Directed Village Land Use Attorney Nancy Stroud to investigate the merits,,,Directed Village Land Use Attorney Nancy Stroud to investigate the merits,Directed Village Land Use Attorney Nancy Stroud to investigate the merits,,,
40,7,2,Vote,,,"Continued deliberations to 9:00 a.m. on January 20, 2016",,,"Continued deliberations to 9:00 a.m. on January 20, 2016","Continued deliberations to 9:00 a.m. on January 20, 2016",,Detected,
41,9,1,Vote,,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS",,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS. Action: Approved the agenda",Approved the agenda,,Detected,
42,9,2,Consent Agenda,,,"Approval of January 4, 2017 Council Meeting Minutes",,,"Approval of January 4, 2017 Council Meeting Minutes. Action: Approved the Consent Agenda",Approved the Consent Agenda,,Detected,
43,9,3,Resolution,2017-01,,"Resolution No. 2017-01 A Resolution of the Village Council of the Village of Estero, Florida, Approving the City Mattress at Coconut Point Plat; and Providing an Effective Date",,,"Resolution No. 2017-01 A Resolution of the Village Council of the Village of Estero, Florida, Approving the City Mattress at Coconut Point Plat; and Providing an Effective Date. Action: Adopted Resolution No. 2017-01",Adopted Resolution No. 2017-01,,Detected,
44,9,4,Unknown,,,"Revised item No. 2 on the legislative priorities list to read: ""Support",,,"Revised item No. 2 on the legislative priorities list to read: ""Support","Revised item No. 2 on the legislative priorities list to read: ""Support",,,
45,9,5,Vote,te,,Opposes the filing of the local bill dealing with the merger of independent fire districts. Motion by: Seconded by: Councilmember Boesch Councilmember Ribble,,,Opposes the filing of the local bill dealing with the merger of independent fire districts. Motion by: Seconded by: Councilmember Boesch Councilmember Ribble. Action: Approved the Village of Estero 2017 State Legislative Priorities as revised,Approved the Village of Estero 2017 State Legislative Priorities as revised,,Detected,
46,9,6,Vote,onomic,,Bonita Springs Estero Economic Development Council Membership,,,"Bonita Springs Estero Economic Development Council Membership. Action: Approved the Village of Estero membership in the Bonita Springs Estero Economic Development Council for a one-year trial period at a cost of $5,000; designated Councilmember Wilson as the liaison; and thanked the Estero Community Improvement Foundation for their $5,000 matching contribution","Approved the Village of Estero membership in the Bonita Springs Estero Economic Development Council for a one-year trial period at a cost of $5,000; designated Councilmember Wilson as the liaison; and thanked the Estero Community Improvement Foundation for their $5,000 matching contribution",,Detected,
47,9,7,Unknown,,,COUNCIL COMMUNICATIONS/ FUTURE AGENDA ITEMS: Councilmember Ribble: Requested that the,,,COUNCIL COMMUNICATIONS/ FUTURE AGENDA ITEMS: Councilmember Ribble: Requested that the. Action: Designated Mayor Batos as the Village spokesman at the Legislative Delegation meeting,Designated Mayor Batos as the Village spokesman at the Legislative Delegation meeting,,,
48,9,8,Ordinance,2017-01,,Passed second reading and adopted Ordinance No. 2017-01 with revised wording for Condition,,,"Passed second reading and adopted Ordinance No. 2017-01 with revised wording for Conditions 1, 3, 7, 10, and 15","Passed second reading and adopted Ordinance No. 2017-01 with revised wording for Conditions 1, 3, 7, 10, and 15",,Detected,
49,10,1,Administrative,,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS",,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS. Action: Approved to permit Councilmember Wilson to participate remotely in Zoom Presentation",Approved to permit Councilmember Wilson to participate remotely in Zoom Presentation,,Detected,
50,10,2,Administrative,,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS",,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS. Action: Approved agenda",Approved agenda,,Detected,
51,10,3,Consent Agenda,,,Financial Reports November 2021,,,Financial Reports November 2021. Action: Approved the Consent Agenda with the revision of the minutes,Approved the Consent Agenda with the revision of the minutes,,Detected,
52,10,4,Vote,,DK Realty Group-Sub,Lien Mitigation Request - 9170 Estero River Ct,,9170 Estero River Ct,"Lien Mitigation Request - 9170 Estero River Ct. Action: Adopted the lien mitigation request from DK Realty Group-Sub, LLC releasing any outstanding liens against the Property in exchange for payment of a reduced fine of $49,000.00 and $296.85 for administrative costs","Adopted the lien mitigation request from DK Realty Group-Sub, LLC releasing any outstanding liens against the Property in exchange for payment of a reduced fine of $49,000.00 and $296.85 for administrative costs",,Detected,
53,10,5,Contract Approval,2021-04stero,,Sandy Lane and Via Coconut Point Bridge Rehabilitation - RFB 2021-04stero Parkway Landscape Maintenance Contract,,Sandy Lane,"Sandy Lane and Via Coconut Point Bridge Rehabilitation - RFB 2021-04stero Parkway Landscape Maintenance Contract. Action: Approved award of Request for Bid No. RFB 2021-04, Sandy Lane and Via Coconut Point Bridge Rehabilitation to Thomas Marine Construction, Inc. to perform the rehabilitation work at a cost of $349,851, approve a contingency fund amount of $35,000 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero Council","Approved award of Request for Bid No. RFB 2021-04, Sandy Lane and Via Coconut Point Bridge Rehabilitation to Thomas Marine Construction, Inc. to perform the rehabilitation work at a cost of $349,851, approve a contingency fund amount of $35,000 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero Council",,Detected,
54,10,6,Ordinance,2022-01,,"Ordinance No. 2022-01 An Ordinance of the Village Council of the Village of Estero, Florida, Approving Updates to the Capital Improvements Element to Update the Capital Improvements Schedule for Fiscal Year 2021/2022 and Adopt the most Recent Lee County S",,,"Ordinance No. 2022-01 An Ordinance of the Village Council of the Village of Estero, Florida, Approving Updates to the Capital Improvements Element to Update the Capital Improvements Schedule for Fiscal Year 2021/2022 and Adopt the most Recent Lee County S. Action: Adopted Ordinance No. 2022-01",Adopted Ordinance No. 2022-01,,Detected,
