ProjectName,Board,MeetingFormat,MeetingType,MeetingDate,ArcGIS_Date,MeetingYear,Status,AgendaItemID,AgendaItemNumber,AgendaItemType,ProjectTitle,Summary,ActionTaken,Outcome,MotionText,ProposedBy,SecondedBy,VoteResult,ApplicantName,ApplicationID,District,LocationName,Location,Latitude,Longitude,GeocodeConfidence,StaffCode,Filename,Document_Link,RecordType
Corkscrew Road; Estero Parkway Improvements,Village Council,Regular Meeting,Village Council,2016-03-23,2016-03-23,2016,Accepted,255,6,Vote,Letter to Lee County Requesting Support for Capital Projects within Estero,"Letter to Lee County Requesting Support for Capital Projects within Estero. Action: Authorized the Village Manager to submit a letter to Lee County requesting support for traffic control for Bella Terra and Corkscrew Road, the sidewalk project on Estero Parkway, and resurfacing Estero Parkway","Authorized the Village Manager to submit a letter to Lee County requesting support for traffic control for Bella Terra and Corkscrew Road, the sidewalk project on Estero Parkway, and resurfacing Estero Parkway","Authorized the Village Manager to submit a letter to Lee County requesting support for traffic control for Bella Terra and Corkscrew Road, the sidewalk project on Estero Parkway, and resurfacing Estero Parkway","Authorized the Village Manager to submit a letter to Lee County requesting support for traffic control for Bella Terra and Corkscrew Road, the sidewalk project on Estero Parkway, and resurfacing Estero Parkway",,,Detected,,,,Bella Terra,"Bella Terra, Estero, FL",26.4346867,-81.7289876,0.7,DA/MI,032316 Council Meeting Approved Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/032316%20Council%20Meeting%20Approved%20Minutes.pdf,AgendaItemLocation
Village Wide Traffic Study Contract,Village Council,Regular Meeting,Village Council,2024-01-03,2024-01-03,2024,Accepted,5,5,Contract Approval,Village Wide Traffic Study Contract,"Village Wide Traffic Study Contract. Action: Approved Contract EC 2024-07 with Johnson Engineering, Inc. to prepare the Village Wide Traffic Study for $249,480, approve a $25,000 contingency for additional services that may be required to complete the project, authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and authorize the Village Manager to execute an amendment to the...","Approved Contract EC 2024-07 with Johnson Engineering, Inc. to prepare the Village Wide Traffic Study for $249,480, approve a $25,000 contingency for additional services that may be required to complete the project, authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and authorize the Village Manager to execute an amendment to the agreement to add the locations added by council. Vice Mayor Ribble would like to add the intersection Meadowbrook and Coconut to the study. Councilmember Zalucki would like to add the intersections Corkscrew and Estero Crossing Blvd and Corkscrew and Bella Terra Blvd to the study","Approved Contract EC 2024-07 with Johnson Engineering, Inc. to prepare the Village Wide Traffic Study for $249,480, approve a $25,000 contingency for additional services that may be required to complete the project, authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and authorize the Village Manager to execute an amendment to the agreement to add the locations added by council. Vice Mayor Ribble would like to add the intersection Meadowbrook and Coconut to the study. Councilmember Zalucki would like to add the intersections Corkscrew and Estero Crossing Blvd and Corkscrew and Bella Terra Blvd to the study","Approved Contract EC 2024-07 with Johnson Engineering, Inc. to prepare the Village Wide Traffic Study for $249,480, approve a $25,000 contingency for additional services that may be required to complete the project, authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and authorize the Village Manager to execute an amendment to the agreement to add the locations added by council. Vice Mayor Ribble would like to add the intersection Meadowbrook and Coconut to the study. Councilmember Zalucki would like to add the intersections Corkscrew and Estero Crossing Blvd and Corkscrew and Bella Terra Blvd to the study",,,Detected,Johnson Engineering,2024-07,,Bella Terra,"Bella Terra, Estero, FL",26.4346867,-81.7289876,0.7,TD/CS,01032024 minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/01032024%20minutes.pdf,AgendaItemLocation
Corkscrew Road; Estero Parkway Improvements; Ben Hill Griffin Parkway Improvements,Village Council,Regular Meeting,Village Council,2016-08-31,2016-08-31,2016,Accepted,766,8,Ordinance,University Landscaping Operation and Maintenance Special Improvement Unit (University Landscaping MSBU) Councilmember Ribble addressed Estero Parkway paving and spoke to the positive response during meetings with Lee County representatives. The me...,University Landscaping Operation and Maintenance Special Improvement Unit (University Landscaping MSBU) Councilmember Ribble addressed Estero Parkway paving and spoke to the positive response during meetings with Lee County representatives. The meeting we. Action: Approved the Interlocal Agreement with Lee County for the continuation of the University Landscaping Operation and Maintenance Special Improvement Unit to provide an enhanced level oflandscaping along certain portions of Corkscrew R...,"Approved the Interlocal Agreement with Lee County for the continuation of the University Landscaping Operation and Maintenance Special Improvement Unit to provide an enhanced level oflandscaping along certain portions of Corkscrew Road, Estero Parkway and Ben Hill Griffin Parkway within the Village limits and to schedule first reading of the ordinance for September 7, 2016 and second reading and public hearing for September 21, 2016","Approved the Interlocal Agreement with Lee County for the continuation of the University Landscaping Operation and Maintenance Special Improvement Unit to provide an enhanced level oflandscaping along certain portions of Corkscrew Road, Estero Parkway and Ben Hill Griffin Parkway within the Village limits and to schedule first reading of the ordinance for September 7, 2016 and second reading and public hearing for September 21, 2016","Approved the Interlocal Agreement with Lee County for the continuation of the University Landscaping Operation and Maintenance Special Improvement Unit to provide an enhanced level oflandscaping along certain portions of Corkscrew Road, Estero Parkway and Ben Hill Griffin Parkway within the Village limits and to schedule first reading of the ordinance for September 7, 2016 and second reading and public hearing for September 21, 2016",,,Detected,Lee County representatives,,,Ben Hill Griffin Parkway,"Ben Hill Griffin Parkway, Estero, FL",26.4377157,-81.7708838,0.7,,083116 Council Meeting Approved Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/083116%20Council%20Meeting%20Approved%20Minutes.pdf,AgendaItemLocation
Corkscrew Road; Estero Parkway Improvements; Ben Hill Griffin Parkway Improvements,Village Council,Regular Meeting,Village Council,2021-03-03,2021-03-03,2021,Accepted,182,6,Contract Approval,Ben Hill Griffin Landscape Design,"Ben Hill Griffin Landscape Design. Action: Approved Ben Hill Griffin Parkway Preliminary Landscape Design contracts with Bruce Howard and Associates under EC2020-42 and RWA Engineering under EC2020-67 to perform a suite of design services for the proposed landscape improvements along Ben Hill Griffin Parkway from Corkscrew Road to Estero Parkway, approve a 10% contingency for additional services that may be required to complete the project, and Authorize the Village Manager to sign the Supple...","Approved Ben Hill Griffin Parkway Preliminary Landscape Design contracts with Bruce Howard and Associates under EC2020-42 and RWA Engineering under EC2020-67 to perform a suite of design services for the proposed landscape improvements along Ben Hill Griffin Parkway from Corkscrew Road to Estero Parkway, approve a 10% contingency for additional services that may be required to complete the project, and Authorize the Village Manager to sign the Supplemental Task Authorization (STA) and other additional implementing documents within the scope of the STAs on behalf of the Village of Estero Council","Approved Ben Hill Griffin Parkway Preliminary Landscape Design contracts with Bruce Howard and Associates under EC2020-42 and RWA Engineering under EC2020-67 to perform a suite of design services for the proposed landscape improvements along Ben Hill Griffin Parkway from Corkscrew Road to Estero Parkway, approve a 10% contingency for additional services that may be required to complete the project, and Authorize the Village Manager to sign the Supplemental Task Authorization (STA) and other additional implementing documents within the scope of the STAs on behalf of the Village of Estero Council","Approved Ben Hill Griffin Parkway Preliminary Landscape Design contracts with Bruce Howard and Associates under EC2020-42 and RWA Engineering under EC2020-67 to perform a suite of design services for the proposed landscape improvements along Ben Hill Griffin Parkway from Corkscrew Road to Estero Parkway, approve a 10% contingency for additional services that may be required to complete the project, and Authorize the Village Manager to sign the Supplemental Task Authorization (STA) and other additional implementing documents within the scope of the STAs on behalf of the Village of Estero Council",,,Detected,Bruce Howard and Associates under EC2020-42 and RWA Engineering under EC2020-67,2020-42,,Ben Hill Griffin Parkway,"Ben Hill Griffin Parkway, Estero, FL",26.4377157,-81.7708838,0.7,TD/CS,0232021 minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/0232021%20minutes.pdf,AgendaItemLocation
Corkscrew Road; Estero Parkway Improvements; Ben Hill Griffin Parkway Improvements,Village Council,Regular Meeting,Village Council,2022-04-20,2022-04-20,2022,Accepted,356,7,Contract Approval,Ben Hill Griffin Parkway Improvements Design and Permitting Contracts,Ben Hill Griffin Parkway Improvements Design and Permitting Contracts. Action: Approved Ben Hill Griffin Parkway Improvements contracts with Bruce Howard and Associates under EC2020-42 STA - 07 and CW3 Engineering under EC2020-48 STA - 09 to perform landscape architecture and engineering services for the proposed improvements along Ben Hill Griffin Parkway from Corkscrew Road to Estero Parkway,Approved Ben Hill Griffin Parkway Improvements contracts with Bruce Howard and Associates under EC2020-42 STA - 07 and CW3 Engineering under EC2020-48 STA - 09 to perform landscape architecture and engineering services for the proposed improvements along Ben Hill Griffin Parkway from Corkscrew Road to Estero Parkway,Approved Ben Hill Griffin Parkway Improvements contracts with Bruce Howard and Associates under EC2020-42 STA - 07 and CW3 Engineering under EC2020-48 STA - 09 to perform landscape architecture and engineering services for the proposed improvements along Ben Hill Griffin Parkway from Corkscrew Road to Estero Parkway,Approved Ben Hill Griffin Parkway Improvements contracts with Bruce Howard and Associates under EC2020-42 STA - 07 and CW3 Engineering under EC2020-48 STA - 09 to perform landscape architecture and engineering services for the proposed improvements along Ben Hill Griffin Parkway from Corkscrew Road to Estero Parkway,,,Detected,Bruce Howard and Associates under EC2020-42 STA - 07 and CW3 Engineering under EC2020-48 STA - 09,2020-42,,Ben Hill Griffin Parkway,"Ben Hill Griffin Parkway, Estero, FL",26.4377157,-81.7708838,0.7,TD/CS,04202022 minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/04202022%20minutes.pdf,AgendaItemLocation
Broadway Avenue Utility Extension,Village Council,Regular Meeting,Village Council,2017-08-02,2017-08-02,2017,Accepted,741,11,Resolution,"Questions or Comments: Vice Mayor Ribble and Councilmember Errington. It was noted that the Village went out for bids, none were received, and the issue requires immediate attention","Questions or Comments: Vice Mayor Ribble and Councilmember Errington. It was noted that the Village went out for bids, none were received, and the issue requires immediate attention. Action: Adopted Resolution No. 2017-23 Authorizing the Waiving of Competitive Bidding Procedures and Authorizing the Village Manager to Execute a Contract for Emergency Replacement of the Culvert, Abutments, and Related Ditching for the Stonnwater Conveyance System under Broadway Avenue West, near US 41, with a C...","Adopted Resolution No. 2017-23 Authorizing the Waiving of Competitive Bidding Procedures and Authorizing the Village Manager to Execute a Contract for Emergency Replacement of the Culvert, Abutments, and Related Ditching for the Stonnwater Conveyance System under Broadway Avenue West, near US 41, with a Contractor Chosen by Village Staff; and Providing an Effective Date","Adopted Resolution No. 2017-23 Authorizing the Waiving of Competitive Bidding Procedures and Authorizing the Village Manager to Execute a Contract for Emergency Replacement of the Culvert, Abutments, and Related Ditching for the Stonnwater Conveyance System under Broadway Avenue West, near US 41, with a Contractor Chosen by Village Staff; and Providing an Effective Date","Adopted Resolution No. 2017-23 Authorizing the Waiving of Competitive Bidding Procedures and Authorizing the Village Manager to Execute a Contract for Emergency Replacement of the Culvert, Abutments, and Related Ditching for the Stonnwater Conveyance System under Broadway Avenue West, near US 41, with a Contractor Chosen by Village Staff; and Providing an Effective Date",,,Detected,,2017-23,,Broadway Avenue,"Broadway Avenue, Estero, FL",26.4419378,-81.8241581,0.7,KH/CS,080217 Council Meeting Approved Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/080217%20Council%20Meeting%20Approved%20Minutes.pdf,AgendaItemLocation
Estero on the River,Village Council,Regular Meeting,Village Council,2022-03-16,2022-03-16,2022,Accepted,228,4,Vote,"Purchase of the 10-acre vacant parcel, commonly known as ""River Oaks"" at the east end of Broadway Avenue","Purchase of the 10-acre vacant parcel, commonly known as ""River Oaks"" at the east end of Broadway Avenue. Action: Approved the purchase of the 10-acre vacant parcel, commonly known as ""River Oaks"" at the east end of Broadway Avenue","Approved the purchase of the 10-acre vacant parcel, commonly known as ""River Oaks"" at the east end of Broadway Avenue","Approved the purchase of the 10-acre vacant parcel, commonly known as ""River Oaks"" at the east end of Broadway Avenue","Approved the purchase of the 10-acre vacant parcel, commonly known as ""River Oaks"" at the east end of Broadway Avenue",,,Detected,,,,Broadway Avenue,"Broadway Avenue, Estero, FL",26.4419378,-81.8241581,0.7,TD/CS,03162022 minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/03162022%20minutes.pdf,AgendaItemLocation
Estero on the River,Village Council,Regular Meeting,Village Council,2022-04-06,2022-04-06,2022,Accepted,304,6,Resolution,"Resolution No. 2022-05 a Resolution Confirming the Approval of Purchase of a Vacant Land Contract for Purchase of Property Located at Broadway E., Estero (River Oaks) from Old Town Preservation & Management Inc.; and Providing an Effective Date","Resolution No. 2022-05 a Resolution Confirming the Approval of Purchase of a Vacant Land Contract for Purchase of Property Located at Broadway E., Estero (River Oaks) from Old Town Preservation & Management Inc.; and Providing an Effective Date. Action: Approved Resolution No. 2022-05 to purchase the 10-acre vacant parcel, commonly known as ""River Oaks"" at the east end of Broadway Avenue","Approved Resolution No. 2022-05 to purchase the 10-acre vacant parcel, commonly known as ""River Oaks"" at the east end of Broadway Avenue","Approved Resolution No. 2022-05 to purchase the 10-acre vacant parcel, commonly known as ""River Oaks"" at the east end of Broadway Avenue","Approved Resolution No. 2022-05 to purchase the 10-acre vacant parcel, commonly known as ""River Oaks"" at the east end of Broadway Avenue",,,Detected,,2022-05,,Broadway Avenue,"Broadway Avenue, Estero, FL",26.4419378,-81.8241581,0.7,TD/CS,04062022 minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/04062022%20minutes.pdf,AgendaItemLocation
Estero on the River,Village Council,Regular Meeting,Village Council,2022-04-20,2022-04-20,2022,Accepted,353,4,Resolution,"Resolution No. 2022-08 A Resolution for Approval of Purchase of a Vacant Land Contract for Purchase of Property Located at Broadway E., Estero (River Oaks) from Old Town Preservation & Management Inc.; and Providing an Effective Date","Resolution No. 2022-08 A Resolution for Approval of Purchase of a Vacant Land Contract for Purchase of Property Located at Broadway E., Estero (River Oaks) from Old Town Preservation & Management Inc.; and Providing an Effective Date. Action: Adopted Resolution No. 2022-08 to purchase the 10-acre vacant parcel, commonly known as ""River Oaks"" at the east end of Broadway Avenue","Adopted Resolution No. 2022-08 to purchase the 10-acre vacant parcel, commonly known as ""River Oaks"" at the east end of Broadway Avenue","Adopted Resolution No. 2022-08 to purchase the 10-acre vacant parcel, commonly known as ""River Oaks"" at the east end of Broadway Avenue","Adopted Resolution No. 2022-08 to purchase the 10-acre vacant parcel, commonly known as ""River Oaks"" at the east end of Broadway Avenue",,,Detected,,2022-08,,Broadway Avenue,"Broadway Avenue, Estero, FL",26.4419378,-81.8241581,0.7,TD/CS,04202022 minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/04202022%20minutes.pdf,AgendaItemLocation
Septic to Sewer; Broadway Avenue Utility Extension,Village Council,Regular Meeting,Village Council,2022-02-02,2022-02-02,2022,Accepted,110,6,Contract Approval,CN 2022-03 Broadway West UEP Design and Permitting Services,"CN 2022-03 Broadway West UEP Design and Permitting Services. Action: Approved the consultants ranking for Broadway Avenue West Utilities Extension Project (UEP) as follows: Number 1 - Johnson Engineering, Inc.; Number 2 - Tetra Tech, Inc.; Number 3 - CW3 Engineering, Inc.; Number 4 - JR Evans Engineering, P.A., and authorize staff to negotiate a contract with the Number 1 ranked firm, Johnson Engineering, Inc. to provide professional consulting services for the Broadway Avenue West Utilities...","Approved the consultants ranking for Broadway Avenue West Utilities Extension Project (UEP) as follows: Number 1 - Johnson Engineering, Inc.; Number 2 - Tetra Tech, Inc.; Number 3 - CW3 Engineering, Inc.; Number 4 - JR Evans Engineering, P.A., and authorize staff to negotiate a contract with the Number 1 ranked firm, Johnson Engineering, Inc. to provide professional consulting services for the Broadway Avenue West Utilities Extension Project (UEP)","Approved the consultants ranking for Broadway Avenue West Utilities Extension Project (UEP) as follows: Number 1 - Johnson Engineering, Inc.; Number 2 - Tetra Tech, Inc.; Number 3 - CW3 Engineering, Inc.; Number 4 - JR Evans Engineering, P.A., and authorize staff to negotiate a contract with the Number 1 ranked firm, Johnson Engineering, Inc. to provide professional consulting services for the Broadway Avenue West Utilities Extension Project (UEP)","Approved the consultants ranking for Broadway Avenue West Utilities Extension Project (UEP) as follows: Number 1 - Johnson Engineering, Inc.; Number 2 - Tetra Tech, Inc.; Number 3 - CW3 Engineering, Inc.; Number 4 - JR Evans Engineering, P.A., and authorize staff to negotiate a contract with the Number 1 ranked firm, Johnson Engineering, Inc. to provide professional consulting services for the Broadway Avenue West Utilities Extension Project (UEP)",,,Detected,,2022-03,,Broadway Avenue,"Broadway Avenue, Estero, FL",26.4419378,-81.8241581,0.7,TD/CS,02022022 minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/02022022%20minutes.pdf,AgendaItemLocation
Septic to Sewer; Broadway Avenue Utility Extension,Village Council,Regular Meeting,Village Council,2022-02-02,2022-02-02,2022,Accepted,111,7,Contract Approval,CN 2022-04 Broadway Avenue East Utilities Extension Project (UEP) Design and Permitting Services,"CN 2022-04 Broadway Avenue East Utilities Extension Project (UEP) Design and Permitting Services. Action: Approved the consultants ranking for Broadway Avenue East Utilities Extension Project (UEP) as follows: Number 1 - Tetra Tech, Inc.; Number 2 - Johnson Engineering, Inc.; Number 3 - CW3 Engineering, Inc.; Number 4 - JR Evans Engineering, P.A., and authorize staff to negotiate a contract with the Number 1 ranked firm, Tetra Tech, Inc. to provide professional consulting services for the Bro...","Approved the consultants ranking for Broadway Avenue East Utilities Extension Project (UEP) as follows: Number 1 - Tetra Tech, Inc.; Number 2 - Johnson Engineering, Inc.; Number 3 - CW3 Engineering, Inc.; Number 4 - JR Evans Engineering, P.A., and authorize staff to negotiate a contract with the Number 1 ranked firm, Tetra Tech, Inc. to provide professional consulting services for the Broadway Avenue East Utilities Extension Project (UEP)","Approved the consultants ranking for Broadway Avenue East Utilities Extension Project (UEP) as follows: Number 1 - Tetra Tech, Inc.; Number 2 - Johnson Engineering, Inc.; Number 3 - CW3 Engineering, Inc.; Number 4 - JR Evans Engineering, P.A., and authorize staff to negotiate a contract with the Number 1 ranked firm, Tetra Tech, Inc. to provide professional consulting services for the Broadway Avenue East Utilities Extension Project (UEP)","Approved the consultants ranking for Broadway Avenue East Utilities Extension Project (UEP) as follows: Number 1 - Tetra Tech, Inc.; Number 2 - Johnson Engineering, Inc.; Number 3 - CW3 Engineering, Inc.; Number 4 - JR Evans Engineering, P.A., and authorize staff to negotiate a contract with the Number 1 ranked firm, Tetra Tech, Inc. to provide professional consulting services for the Broadway Avenue East Utilities Extension Project (UEP)",,,Detected,,2022-04,,Broadway Avenue,"Broadway Avenue, Estero, FL",26.4419378,-81.8241581,0.7,TD/CS,02022022 minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/02022022%20minutes.pdf,AgendaItemLocation
Septic to Sewer; Broadway Avenue Utility Extension,Village Council,Regular Meeting,Village Council,2025-10-01,2025-10-01,2025,Accepted,924,4,Contract Approval,Approval of FDEP Grant L0187 for Estero Broadway Ave East Phase 1 Project,"Approval of FDEP Grant L0187 for Estero Broadway Ave East Phase 1 Project. Action: Approved the Florida DEP Standard Grant Agreement for the Estero Broadway Avenue East Phase 1 project (Agreement Number L0187), and to authorize the Village Manager or designee to execute all related documents","Approved the Florida DEP Standard Grant Agreement for the Estero Broadway Avenue East Phase 1 project (Agreement Number L0187), and to authorize the Village Manager or designee to execute all related documents","Approved the Florida DEP Standard Grant Agreement for the Estero Broadway Avenue East Phase 1 project (Agreement Number L0187), and to authorize the Village Manager or designee to execute all related documents","Approved the Florida DEP Standard Grant Agreement for the Estero Broadway Avenue East Phase 1 project (Agreement Number L0187), and to authorize the Village Manager or designee to execute all related documents",,,Detected,,ndard,,Broadway Avenue,"Broadway Avenue, Estero, FL",26.4419378,-81.8241581,0.7,TD/CS,10012025.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/10012025.pdf,AgendaItemLocation
Septic to Sewer,Village Council,Regular Meeting,Village Council,2021-04-07,2021-04-07,2021,Accepted,312,5,Contract Approval,US 41 Landscape Improvements RFB 2021-02,"US 41 Landscape Improvements RFB 2021-02. Action: Approved award of Request for Bids No. RFB 2021-02, US 41 Landscape Improvements Broadway East to Vintage Parkway and Coconut Road to Fountain Lakes Boulevard to P & T Lawn and Tractor Service, Inc. at a Grand Total Cost of $118,075, approve a contingency fund amount of $11,800 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract and any...","Approved award of Request for Bids No. RFB 2021-02, US 41 Landscape Improvements Broadway East to Vintage Parkway and Coconut Road to Fountain Lakes Boulevard to P & T Lawn and Tractor Service, Inc. at a Grand Total Cost of $118,075, approve a contingency fund amount of $11,800 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract and any other related ancillary documents on behalf of the Village of Estero Council","Approved award of Request for Bids No. RFB 2021-02, US 41 Landscape Improvements Broadway East to Vintage Parkway and Coconut Road to Fountain Lakes Boulevard to P & T Lawn and Tractor Service, Inc. at a Grand Total Cost of $118,075, approve a contingency fund amount of $11,800 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract and any other related ancillary documents on behalf of the Village of Estero Council","Approved award of Request for Bids No. RFB 2021-02, US 41 Landscape Improvements Broadway East to Vintage Parkway and Coconut Road to Fountain Lakes Boulevard to P & T Lawn and Tractor Service, Inc. at a Grand Total Cost of $118,075, approve a contingency fund amount of $11,800 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract and any other related ancillary documents on behalf of the Village of Estero Council",,,Detected,,2021-02,,Broadway Avenue East UEP,"Broadway Avenue East, Estero, FL",26.442,-81.8054,0.9,TD/CS,04072021 minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/04072021%20minutes.pdf,AgendaItemLocation
Septic to Sewer,Village Council,Regular Meeting,Village Council,2022-02-02,2022-02-02,2022,Accepted,109,5,Contract Approval,CN 2022-02 Design and Permitting Services for Sandy Lane & Broadway East Bicycle / Pedestrian Improvements,"CN 2022-02 Design and Permitting Services for Sandy Lane & Broadway East Bicycle / Pedestrian Improvements. Action: Approved the consultants ranking for Sandy Lane and Broadway East Bicycle/Pedestrian Improvements Project as follows: Number 1 - Atkins North America, Inc.; Number 2 - CW3 Engineering, Inc.; Number 3 - Kimley-Horn and Associates, Inc.; Number 4 - Q. Grady Minor & Associates, P.A., and authorize staff to negotiate a contract with the Number 1 ranked firm, Atkins North America, In...","Approved the consultants ranking for Sandy Lane and Broadway East Bicycle/Pedestrian Improvements Project as follows: Number 1 - Atkins North America, Inc.; Number 2 - CW3 Engineering, Inc.; Number 3 - Kimley-Horn and Associates, Inc.; Number 4 - Q. Grady Minor & Associates, P.A., and authorize staff to negotiate a contract with the Number 1 ranked firm, Atkins North America, Inc. to provide professional consulting services for the Sandy Lane and Broadway East Bicycle/Pedestrian Improvements Project","Approved the consultants ranking for Sandy Lane and Broadway East Bicycle/Pedestrian Improvements Project as follows: Number 1 - Atkins North America, Inc.; Number 2 - CW3 Engineering, Inc.; Number 3 - Kimley-Horn and Associates, Inc.; Number 4 - Q. Grady Minor & Associates, P.A., and authorize staff to negotiate a contract with the Number 1 ranked firm, Atkins North America, Inc. to provide professional consulting services for the Sandy Lane and Broadway East Bicycle/Pedestrian Improvements Project","Approved the consultants ranking for Sandy Lane and Broadway East Bicycle/Pedestrian Improvements Project as follows: Number 1 - Atkins North America, Inc.; Number 2 - CW3 Engineering, Inc.; Number 3 - Kimley-Horn and Associates, Inc.; Number 4 - Q. Grady Minor & Associates, P.A., and authorize staff to negotiate a contract with the Number 1 ranked firm, Atkins North America, Inc. to provide professional consulting services for the Sandy Lane and Broadway East Bicycle/Pedestrian Improvements Project",,,Detected,,2022-02,,Broadway Avenue East UEP,"Broadway Avenue East, Estero, FL",26.442,-81.8054,0.9,TD/CS,02022022 minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/02022022%20minutes.pdf,AgendaItemLocation
Septic to Sewer,Village Council,Regular Meeting,Village Council,2022-02-02,2022-02-02,2022,Accepted,111,7,Contract Approval,CN 2022-04 Broadway Avenue East Utilities Extension Project (UEP) Design and Permitting Services,"CN 2022-04 Broadway Avenue East Utilities Extension Project (UEP) Design and Permitting Services. Action: Approved the consultants ranking for Broadway Avenue East Utilities Extension Project (UEP) as follows: Number 1 - Tetra Tech, Inc.; Number 2 - Johnson Engineering, Inc.; Number 3 - CW3 Engineering, Inc.; Number 4 - JR Evans Engineering, P.A., and authorize staff to negotiate a contract with the Number 1 ranked firm, Tetra Tech, Inc. to provide professional consulting services for the Bro...","Approved the consultants ranking for Broadway Avenue East Utilities Extension Project (UEP) as follows: Number 1 - Tetra Tech, Inc.; Number 2 - Johnson Engineering, Inc.; Number 3 - CW3 Engineering, Inc.; Number 4 - JR Evans Engineering, P.A., and authorize staff to negotiate a contract with the Number 1 ranked firm, Tetra Tech, Inc. to provide professional consulting services for the Broadway Avenue East Utilities Extension Project (UEP)","Approved the consultants ranking for Broadway Avenue East Utilities Extension Project (UEP) as follows: Number 1 - Tetra Tech, Inc.; Number 2 - Johnson Engineering, Inc.; Number 3 - CW3 Engineering, Inc.; Number 4 - JR Evans Engineering, P.A., and authorize staff to negotiate a contract with the Number 1 ranked firm, Tetra Tech, Inc. to provide professional consulting services for the Broadway Avenue East Utilities Extension Project (UEP)","Approved the consultants ranking for Broadway Avenue East Utilities Extension Project (UEP) as follows: Number 1 - Tetra Tech, Inc.; Number 2 - Johnson Engineering, Inc.; Number 3 - CW3 Engineering, Inc.; Number 4 - JR Evans Engineering, P.A., and authorize staff to negotiate a contract with the Number 1 ranked firm, Tetra Tech, Inc. to provide professional consulting services for the Broadway Avenue East Utilities Extension Project (UEP)",,,Detected,,2022-04,,Broadway Avenue East UEP,"Broadway Avenue East, Estero, FL",26.442,-81.8054,0.9,TD/CS,02022022 minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/02022022%20minutes.pdf,AgendaItemLocation
