location_id,location_name,location_type,address,description,latitude,longitude
58,4406 and 4410 Coconut Road,General Area,"4406 and 4410 Coconut Road, Estero, FL",,,
59,20031 Seagrove Street,General Area,"20031 Seagrove Street, Estero, FL",,,
60,22350 S Tamiami Trail,General Area,"22350 S Tamiami Trail, Estero, FL",,,
61,"Corkscrew Road from Ben Hill Griffin Parkway to east of Bella Terra Boulevard, Estero, FL",Project Site,"Corkscrew Road from Ben Hill Griffin Parkway to east of Bella Terra Boulevard, Estero, FL",,26.443916962688,-81.750022322755
62,"9401 Corkscrew Palms Circle, Estero, FL",Project Site,"9401 Corkscrew Palms Circle, Estero, FL",,26.430490662544,-81.799280001688
63,4410 Coconut Road,General Area,"4410 Coconut Road, Estero, FL",,,
64,"Williams Road from Via Coconut Point to Three Oaks Parkway, Estero, FL",Project Site,"Williams Road from Via Coconut Point to Three Oaks Parkway, Estero, FL",,26.420434746622,-81.797464230004
65,"Ben Hill Griffin Parkway from Corkscrew Road to Estero Parkway, Estero, FL",Project Site,"Ben Hill Griffin Parkway from Corkscrew Road to Estero Parkway, Estero, FL",,26.442888042165,-81.772410260408
66,"Estero River North Branch from Bamboo Island to River Oaks Preserve, Estero, FL",Project Site,"Estero River North Branch from Bamboo Island to River Oaks Preserve, Estero, FL",,26.4390196,-81.8105466
67,20318 Sherrill Lane,General Area,"20318 Sherrill Lane, Estero, FL",,,
68,"20897 Three Oaks Parkway, Estero, FL",Project Site,"20897 Three Oaks Parkway, Estero, FL",,26.436576930078,-81.784532881242
69,"Williams Road & Via Coconut Point, Estero, FL",Project Site,"Williams Road & Via Coconut Point, Estero, FL",,26.42047948503,-81.806570497251
70,9170 Estero River Ct,General Area,"9170 Estero River Ct, Estero, FL",,,
71,"Sandy Lane & Via Coconut Point, Estero, FL",Project Site,"Sandy Lane & Via Coconut Point, Estero, FL",,26.431370008006,-81.804867965078
72,"Sandy Lane and Broadway East bicycle/pedestrian improvements, Estero, FL",Project Site,"Sandy Lane and Broadway East bicycle/pedestrian improvements, Estero, FL",,26.438402,-81.80693
73,"Broadway Avenue West from US 41 to Pine Tree Lane, Estero, FL",Project Site,"Broadway Avenue West from US 41 to Pine Tree Lane, Estero, FL",,26.441876807456,-81.822814751334
74,"Broadway Avenue East from US 41 to Sandy Lane, Estero, FL",Project Site,"Broadway Avenue East from US 41 to Sandy Lane, Estero, FL",,26.441974498538,-81.807963485741
75,"9000 Williams Road, Estero, FL",Project Site,"9000 Williams Road, Estero, FL",,26.420956750596,-81.80311832661
76,"Corkscrew Road at Stoneybrook Golf Drive, Estero, FL",Project Site,"Corkscrew Road at Stoneybrook Golf Drive, Estero, FL",,26.439657614771,-81.762920730637
77,"Williams Road & Baybridge Boulevard, Estero, FL",Project Site,"Williams Road & Baybridge Boulevard, Estero, FL",,26.419972358933,-81.832872657959
78,"Pelican Sound Golf & River Club, Estero, FL",Project Site,"Pelican Sound Golf & River Club, Estero, FL",,26.4360814,-81.8298334
79,"Williams Road from US 41 to Via Coconut Point, Estero, FL",Project Site,"Williams Road from US 41 to Via Coconut Point, Estero, FL",,26.420397237605,-81.80904475125
80,"8801 Corkscrew Road, Estero, FL",Project Site,"8801 Corkscrew Road, Estero, FL",,26.434598214195,-81.807374237947
81,"Woodfield Estero project site, northwest corner of US 41 & Coconut Road, Estero, FL",Project Site,"Woodfield Estero project site, northwest corner of US 41 & Coconut Road, Estero, FL",,26.4022,-81.815
82,"Sandy Lane from Corkscrew Road to Broadway Avenue East, Estero, FL",Project Site,"Sandy Lane from Corkscrew Road to Broadway Avenue East, Estero, FL",,26.43663000848,-81.804926512673
83,"11000 Everblades Parkway, Estero, FL",Project Site,"11000 Everblades Parkway, Estero, FL",,26.440541,-81.77872
84,"Corkscrew Road from I-75 to Ben Hill Griffin Parkway, Estero, FL",Project Site,"Corkscrew Road from I-75 to Ben Hill Griffin Parkway, Estero, FL",,26.434333052689,-81.774029266916
85,"US 41 from Williams Road to Estero Parkway, Estero, FL",Project Site,"US 41 from Williams Road to Estero Parkway, Estero, FL",,26.434255,-81.814695788461
86,"8800 Corkscrew Road, Estero, FL",Project Site,"8800 Corkscrew Road, Estero, FL",,26.430882013604,-81.807370969005
87,20275 Sherrill Lane,General Area,"20275 Sherrill Lane, Estero, FL",,,
88,20275 Sherrill Ln,General Area,"20275 Sherrill Ln, Estero, FL",,,
89,"US 41 from Williams Road to south of Estero Parkway, Estero, FL",Project Site,"US 41 from Williams Road to south of Estero Parkway, Estero, FL",,26.434255,-81.814695788461
90,"19980 Bella Terra Boulevard, Estero, FL",Project Site,"19980 Bella Terra Boulevard, Estero, FL",,26.450582796918,-81.73115952021
91,"Corkscrew Pines project site, Estero, FL",Project Site,"Corkscrew Pines project site, Estero, FL",,26.4383,-81.7603
92,"Summercrest / Estero Townhomes site, 9301 Corkscrew Road, Estero, FL",Project Site,"Summercrest / Estero Townhomes site, 9301 Corkscrew Road, Estero, FL",,26.432264859989,-81.801155452524
93,"Shadow Wood Country Club Lifestyle Center, Estero, FL",Project Site,"Shadow Wood Country Club Lifestyle Center, Estero, FL",,26.407365,-81.789795
94,"Home2 Suites proposed hotel site, Coconut Point Mall, Estero, FL",Project Site,"Home2 Suites proposed hotel site, Coconut Point Mall, Estero, FL",,26.403277778,-81.808611111
95,"Mayfair Village site between Broadway Avenue East and Sandy Lane, Estero, FL",Project Site,"Mayfair Village site between Broadway Avenue East and Sandy Lane, Estero, FL",,26.43890234243,-81.805657540358
96,20248 Luettich Lane,General Area,"20248 Luettich Lane, Estero, FL",,,
97,4741 Broadway Avenue,General Area,"4741 Broadway Avenue, Estero, FL",,,
